company_name_label,isin,label,symbol,company_name,promoter_total_pct,pct_IndividualsOrHinduUndividedFamily,num_IndividualsOrHinduUndividedFamily,pct_NonResidentIndividualsOrForeignIndividuals,num_NonResidentIndividualsOrForeignIndividuals,pct_DirectorsAndDirectorsRelatives,num_DirectorsAndDirectorsRelatives,pct_KeyManagerialPersonnel,num_KeyManagerialPersonnel,pct_RelativesOfPromotersOtherThanPromoterGroup,num_RelativesOfPromotersOtherThanPromoterGroup,pct_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,num_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,pct_CentralGovernmentOrPresidentOfIndia,num_CentralGovernmentOrPresidentOfIndia,pct_StateGovernmentsOrGovernors,num_StateGovernmentsOrGovernors,pct_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,num_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,pct_ForeignGovernment,num_ForeignGovernment,pct_CentralGovernmentOrStateGovernmentS,num_CentralGovernmentOrStateGovernmentS,pct_ForeignInstitutions,num_ForeignInstitutions,pct_ForeignPortfolioInvestor,num_ForeignPortfolioInvestor,pct_OtherForeignShareholders,num_OtherForeignShareholders,pct_OtherIndianShareholders,num_OtherIndianShareholders,pct_AssociateCompaniesOrSubsidiaries,num_AssociateCompaniesOrSubsidiaries,pct_BodiesCorporateIncludingSubsidiaries,num_BodiesCorporateIncludingSubsidiaries,pct_IndianFinancialInstitutionsOrBanks,num_IndianFinancialInstitutionsOrBanks,natural_pct_sum,natural_num_sum,govt_pct_sum,foreign_non_govt_pct_sum,hufi_num,hufi_pct
TATA STEEL LTD,INE081A01020,Professional,TATASTEEL,Tata Steel Limited,33.19,0.0,0.0,0.0,0.0,0.02,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.01,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.19,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.01,0.0,0.0,0.0
VOLTAS LTD,INE226A01021,Professional,VOLTAS,Voltas Limited,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSIND BANK LTD,INE095A01012,Owner,INDUSINDBK,IndusInd Bank Limited,15.82,0.0,0.0,0.0,0.0,0.01,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,8.0,0.0,15.82,0.0,0.0
TRENT LTD,INE849A01020,Professional,TRENT,Trent Limited,37.01,0.0,0.0,0.0,0.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,5.0,0.0,0.0,0.0,0.0
HEG LTD,INE545A01024,Owner,HEG,HEG Limited,56.28,0.01,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.98,2.0,30.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,8.0,0.0,25.98,4.0,0.01
GRAPHITE INDIA LTD,INE371A01025,Owner,GRAPHITE,Graphite India Limited,65.34,0.5,6.0,0.1,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.0,64.03,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11.0,0.0,0.71,6.0,0.5
V.I.P. INDUSTRIES LTD,INE054A01027,Owner,VIPIND,VIP Industries Limited,42.35,0.79,3.0,0.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,5.0,0.0,0.0,3.0,0.79
BAJAJ FINANCE LTD,INE296A01032,Owner,BAJFINANCE,Bajaj Finance Limited,54.7,0.14,9.0,0.0,1.0,0.03,5.0,0.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.56,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,17.0,0.0,0.0,9.0,0.14
GUJARAT NARMADA VALLEY FERT,INE113A01013,State,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESCORTS KUBOTA LTD,INE042A01014,Owner,ESCORTS,Escorts Kubota Limited,68.04,1.29,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.07,1.0,12.68,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,7.0,0.0,54.07,6.0,1.29
STERLITE TECHNOLOGIES LTD,INE089C01029,Owner,STLTECH,Sterlite Technologies Limited,44.44,0.57,7.0,0.0,0.0,0.01,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,1.0,0.98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,10.0,0.0,42.9,7.0,0.57
BIOCON LTD,INE376G01013,Owner,BIOCON,Biocon Limited,44.91,29.9,1.0,0.38,2.0,0.47,3.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.759999999999998,7.0,0.0,14.63,1.0,29.9
RAIN INDUSTRIES LTD,INE855B01025,Owner,RAIN,Rain Industries Limited,41.35,16.98,7.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.37,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,8.0,0.34,0.0,7.0,16.98
CAPRI GLOBAL CAPITAL LTD,INE180C01042,Owner,CGCL,Capri Global Capital Limited,59.92,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.92,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0
V-GUARD INDUSTRIES LTD,INE951I01027,Owner,VGUARD,V-Guard Industries Limited,53.28,39.38,4.0,0.0,0.0,0.82,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,10.0,0.0,0.0,4.0,39.38
RADICO KHAITAN LTD,INE944F01028,Owner,RADICO,Radico Khaitan Limited,40.2,0.31,2.0,0.0,0.0,0.18,4.0,0.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.0,0.0,0.0,2.0,0.31
JK PAPER LTD,INE789E01012,Owner,JKPAPER,JK Paper Limited,52.94,1.95,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.99,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,12.0,0.0,0.0,12.0,1.95
MANAPPURAM FINANCE LTD,INE522D01027,Owner,MANAPPURAM,Manappuram Finance Limited,31.77,31.77,5.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.78,7.0,0.0,0.0,5.0,31.77
EDELWEISS FINANCIAL SERVICES,INE532F01054,Owner,EDELWEISS,Edelweiss Financial Services Limited,32.69,28.16,7.0,0.1,1.0,0.0,0.0,0.01,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.270000000000003,10.0,0.0,0.0,7.0,28.16
ADANI ENTERPRISES LTD,INE423A01024,Owner,ADANIENT,Adani Enterprises Limited,74.67,0.0,2.0,0.0,0.0,0.02,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68,9.0,58.99,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,15.68,2.0,0.0
DEEPAK NITRITE LTD,INE288B01029,Owner,DEEPAKNTR,Deepak Nitrite Limited,49.33,17.23,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,17.23,11.0,0.0,0.0,8.0,17.23
KEI INDUSTRIES LTD,INE878B01027,Owner,KEI,KEI Industries Limited,35.0,17.13,3.0,0.0,0.0,0.37,2.0,0.05,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.87,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.55,11.0,0.0,0.0,3.0,17.13
SUNTECK REALTY LTD,INE805D01034,Owner,SUNTECK,Sunteck Realty Limited,63.3,1.6,4.0,0.0,0.0,0.01,2.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,7.0,0.0,0.0,4.0,1.6
MUTHOOT FINANCE LTD,INE414G01012,Owner,MUTHOOTFIN,Muthoot Finance Limited,73.35,73.35,12.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.36,13.0,0.0,0.0,12.0,73.35
BALKRISHNA INDUSTRIES LTD,INE787D01026,Owner,BALKRISIND,Balkrishna Industries Limited,58.29,33.09,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,6.0,0.0,0.0,6.0,33.09
