isin,company_name,category,corrected_from_rev1
INE749A01030,JINDAL STEEL LTD,Owner,
INE776C01039,GMR AIRPORTS LTD,Owner,
INE931S01010,ADANI ENERGY SOLUTIONS LTD,Owner,
INE498L01015,L&T FINANCE LTD,Professional,
INE055A01016,ADITYA BIRLA REAL ESTATE LTD,Owner,
INE069I01010,EMBASSY DEVELOPMENTS LTD,Owner,
INE148I01020,SAMMAAN CAPITAL LTD,Professional,Owner
INE483S01020,AVENUESAI LTD,Owner,
INE885A01032,AMARA RAJA ENERGY & MOBILITY,Owner,
INE155A01022,TATA MOTORS PASSENGER VEHICL,Professional,
INE208C01025,AEGIS LOGISTICS LTD,Owner,
INE214T01019,LTM LTD,Professional,
INE699H01024,AWL AGRI BUSINESS LTD,Owner,
INE03Q201024,ALIVUS LIFE SCIENCES LTD,Owner,
INE00FF01025,ACUTAAS CHEMICALS LTD,Owner,
INE0BWS23018,ALTIUS TELECOM INFRASTRUCTUR,Professional,
INE03QK01018,COHANCE LIFESCIENCES LTD,Professional,
INE192B01031,WELSPUN LIVING LTD,Owner,
INE813A01018,MAHINDRA LIFESPACE DEVELOPER,Owner,
INE665A01038,SWAN CORP LTD,Owner,
INE292B01021,HBL ENGINEERING LTD,Owner,
INE818H01020,LT FOODS LTD,Owner,
INE879I01012,VALOR ESTATE LTD,Owner,
INE686A01026,CEMINDIA PROJECTS LTD,MNC,
INE001A01036,HOUSING DEVELOPMENT FINANCE,Professional,
INE001B01026,KRBL LTD,Owner,
INE002A01018,RELIANCE INDUSTRIES LIMITED,Owner,
INE002L01015,SJVN LTD,State,
INE002S01010,MAHANAGAR GAS LTD,State,
INE003A01024,SIEMENS LTD,MNC,
INE006I01046,ASTRAL LTD,Owner,
INE008A01015,IDBI BANK LTD,State,
INE009A01021,INFOSYS LTD,Professional,
INE00E101023,BIKAJI FOODS INTERNATIONAL L,Owner,
INE00F201020,PRUDENT CORPORATE ADVISORY S,Owner,
INE00H001014,SWIGGY LTD,Professional,
INE00LO01017,CRAFTSMAN AUTOMATION LTD,Owner,
INE00M201021,STERLING AND WILSON RENEWABL,Owner,
INE00R701025,DALMIA BHARAT LTD,Owner,
INE00WC01027,AFFLE 3I LTD,Owner,
INE010B01027,ZYDUS LIFESCIENCES LTD,Owner,
INE010J01012,TEJAS NETWORKS LTD,Professional,
INE010V01017,L&T TECHNOLOGY SERVICES LTD,Professional,
INE011K01018,TEGA INDUSTRIES LTD,Owner,
INE012A01025,ACC LTD,Owner,
INE016A01026,DABUR INDIA LTD,Owner,
INE017A01032,GREAT EASTERN SHIPPING CO,Owner,
INE018A01030,LARSEN & TOUBRO LTD,Professional,
INE018E01016,SBI CARDS & PAYMENT SERVICES,State,
INE019A01038,JSW STEEL LTD,Owner,
INE019C01026,HIMADRI SPECIALITY CHEMICAL,Owner,
INE01EA01019,VISHAL MEGA MART LTD,Owner,
INE020B01018,REC LTD,State,
INE021A01026,ASIAN PAINTS LTD,Owner,
INE021O01019,DODLA DAIRY LTD,Owner,
INE022Q01020,INDIAN ENERGY EXCHANGE LTD,Professional,
INE024L01027,GRAVITA INDIA LTD,Owner,
INE026A01025,GUJARAT STATE FERT & CHEMICA,State,
INE027A01015,RASHTRIYA CHEMICALS & FERT,State,
INE027H01010,MAX HEALTHCARE INSTITUTE LTD,Owner,
INE028A01039,BANK OF BARODA,State,
INE029A01011,BHARAT PETROLEUM CORP LTD,State,
INE02NC01014,FINO PAYMENTS BANK LTD,Professional,
INE02YR01019,ELECTRONICS MART INDIA LTD,Owner,
INE030A01027,HINDUSTAN UNILEVER LTD,MNC,
INE031A01017,HOUSING & URBAN DEV CORP LTD,State,
INE031B01049,AJANTA PHARMA LTD,Owner,
INE032A01023,BOMBAY DYEING & MFG CO LTD,Owner,
INE034A01011,ARVIND LTD,Owner,
INE036A01016,RELIANCE INFRASTRUCTURE LTD,Owner,
INE036B01030,GUJARAT AMBUJA EXPORTS LTD,Owner,
INE036D01028,KARUR VYSYA BANK LTD,Professional,
INE038A01020,HINDALCO INDUSTRIES LTD,Owner,
INE039A01010,IFCI LTD,State,
INE039C01032,JAMNA AUTO INDUSTRIES LTD,Owner,
INE040A01034,HDFC BANK LIMITED,Professional,
INE040H01021,SUZLON ENERGY LTD,Owner,
INE041025011,EMBASSY OFFICE PARKS REIT,Owner,
INE042A01014,ESCORTS KUBOTA LTD,Owner,
INE043D01016,IDFC LTD,Professional,
INE043W01024,VIJAYA DIAGNOSTIC CENTRE PVT,Owner,
INE044A01036,SUN PHARMACEUTICAL INDUS,Owner,
INE045601023,PARAS DEFENCE & SPACE TECHNO,Owner,
INE047A01021,GRASIM INDUSTRIES LTD,Owner,
INE048G01026,NAVIN FLUORINE INTERNATIONAL,Owner,
INE049B01025,WOCKHARDT LTD,Owner,
INE04I401011,KPIT TECHNOLOGIES LTD,Owner,
INE050A01025,BOMBAY BURMAH TRADING CORP,Owner,
INE051B01021,VAKRANGEE LTD,Owner,
INE052I01032,CAMLIN FINE SCIENCES LTD,Owner,
INE053A01029,INDIAN HOTELS CO LTD,Professional,
INE053F01010,INDIAN RAILWAY FINANCE CORP,State,
INE054A01027,V.I.P. INDUSTRIES LTD,Owner,
INE055S01018,CYIENT DLM LTD,Owner,
INE058A01010,SANOFI INDIA LTD,MNC,
INE059A01026,CIPLA LTD,Owner,
INE061F01013,FORTIS HEALTHCARE LTD,MNC,
INE062A01020,STATE BANK OF INDIA,State,
INE063P01018,EQUITAS SMALL FINANCE BANK L,Professional,
INE064C01022,TRIDENT LTD,Owner,
INE066A01021,EICHER MOTORS LTD,Owner,
INE066F01020,HINDUSTAN AERONAUTICS LTD,State,
INE067A01029,CG POWER AND INDUSTRIAL SOLU,Owner,
INE068V01023,GLAND PHARMA LTD,Owner,
INE070A01015,SHREE CEMENT LTD,Owner,
INE070D01027,JAI CORP LTD,Owner,
INE073K01018,SONA BLW PRECISION FORGINGS,Owner,
INE074A01025,PRAJ INDUSTRIES LTD,Owner,
INE075A01022,WIPRO LTD,Owner,
INE079A01024,AMBUJA CEMENTS LTD,Owner,
INE07O001026,EASY TRIP PLANNERS LTD,Owner,
INE07T201019,RESTAURANT BRANDS ASIA LTD,Professional,
INE07Y701011,HITACHI ENERGY INDIA LTD,MNC,
INE081A01020,TATA STEEL LTD,Professional,
INE084A01016,BANK OF INDIA,State,
INE085A01013,CHAMBAL FERTILISERS & CHEM,Owner,
INE086A01029,ELECTROSTEEL CASTINGS LTD,Owner,
INE087H01022,SHREE RENUKA SUGARS LTD,MNC,
INE088F01024,PARADEEP PHOSPHATES LTD,Owner,
INE089A01031,DR. REDDY'S LABORATORIES,Owner,
INE089C01029,STERLITE TECHNOLOGIES LTD,Owner,
INE08LI01020,KRSNAA DIAGNOSTICS LTD,Owner,
INE090A01021,ICICI BANK LTD,Professional,
INE091G01026,JAI BALAJI INDUSTRIES LTD,Owner,
INE092A01019,TATA CHEMICALS LTD,Professional,
INE092T01019,IDFC FIRST BANK LTD,Professional,
INE093I01010,OBEROI REALTY LTD,Owner,
INE094A01015,HINDUSTAN PETROLEUM CORP,State,
INE094I01018,KOLTE-PATIL DEVELOPERS LTD,Owner,
INE094J01016,UTI ASSET MANAGEMENT CO LTD,Professional,
INE095A01012,INDUSIND BANK LTD,Owner,
INE095N01031,NBCC INDIA LTD,State,
INE099Z01011,MISHRA DHATU NIGAM LTD,State,
INE09N301011,GUJARAT FLUOROCHEMICALS LTD,Owner,
INE09VQ01012,INDIGO PAINTS LTD,Owner,
INE0BJS01011,GO FASHION INDIA LTD,Owner,
INE0BV301023,CE INFO SYSTEMS LTD,Owner,
INE0BWX01014,AETHER INDUSTRIES LTD,Owner,
INE0BY001018,JUBILANT INGREVIA LTD,Owner,
INE0CCU25019,MINDSPACE BUSINESS PARKS REI,Owner,
INE0CLI01024,RATEGAIN TRAVEL TECHNOLOGIES,Owner,
INE0D6701023,INDIA PESTICIDES LTD,Owner,
INE0DD101019,RAILTEL CORP OF INDIA LTD,State,
INE0DK501011,PIRAMAL PHARMA LTD,Owner,
INE0DYJ01015,SYRMA SGS TECHNOLOGY LTD,Owner,
INE0ECP01024,HMA AGRO INDUSTRIES LTD,Owner,
INE0FDU25010,BROOKFIELD INDIA REAL ESTATE,MNC,
INE0FS801015,MOTHERSON SUMI WIRING INDIA,Owner,
INE0GGX23010,POWERGRID INFRASTRUCTURE INV,State,
INE0GK401011,TATVA CHINTAN PHARMA CHEM LT,Owner,
INE0I7C01011,LATENT VIEW ANALYTICS LTD,Owner,
INE0IX101010,DATA PATTERNS INDIA LTD,Owner,
INE0J1Y01017,LIFE INSURANCE CORPORATION,State,
INE0JA001018,VENUS PIPES & TUBES LTD,Owner,
INE0JS101016,DREAMFOLKS SERVICES LTD,Owner,
INE0JUS01029,HARSHA ENGINEERS INTERNATION,Owner,
INE0KL801015,DCX SYSTEMS LTD,Owner,
INE0LCL01028,AVALON TECHNOLOGIES LTD,Owner,
INE0NDH25011,NEXUS SELECT TRUST,Professional,
INE0NNS01018,NMDC STEEL LTD,State,
INE0V6F01027,HYUNDAI MOTOR INDIA LTD,MNC,
INE100A01010,ATUL LTD,Owner,
INE101A01026,MAHINDRA & MAHINDRA LTD,Owner,
INE101D01020,GRANULES INDIA LTD,Owner,
INE102B01014,CHOICE INTERNATIONAL LTD,Owner,
INE102D01028,GODREJ CONSUMER PRODUCTS LTD,Owner,
INE103A01014,MANGALORE REFINERY & PETRO,State,
INE109A01011,SHIPPING CORP OF INDIA LTD,State,
INE111A01025,CONTAINER CORP OF INDIA LTD,State,
INE111Q01021,PDS LTD,Owner,
INE112L01020,METROPOLIS HEALTHCARE LTD,Owner,
INE113A01013,GUJARAT NARMADA VALLEY FERT,State,
INE114A01011,STEEL AUTHORITY OF INDIA,State,
INE115A01026,LIC HOUSING FINANCE LTD,State,
INE117A01022,ABB INDIA LTD,MNC,
INE118A01012,BAJAJ HOLDINGS AND INVESTMEN,Owner,
INE118D01016,NUVOCO VISTAS CORP LTD,Owner,
INE118H01025,BSE LTD,Professional,
INE119A01028,BALRAMPUR CHINI MILLS LTD,Owner,
INE120A01034,CARBORUNDUM UNIVERSAL LTD,Owner,
INE121A01024,CHOLAMANDALAM INVESTMENT AND,Owner,
INE121E01018,JSW ENERGY LTD,Owner,
INE121J01017,INDUS TOWERS LTD,Owner,
INE123F01029,MMTC LTD,State,
INE123W01016,SBI LIFE INSURANCE CO LTD,State,
INE124G01033,DELTA CORP LTD,Owner,
INE126A01031,EID PARRY INDIA LTD,Owner,
INE126J01016,APOLLO PIPES LTD,Owner,
INE127D01025,HDFC ASSET MANAGEMENT CO LTD,Professional,
INE128S01021,FIVE-STAR BUSINESS FINANCE L,Owner,
INE128X01021,ARCHEAN CHEMICAL INDUSTRIES,Owner,
INE129A01019,GAIL INDIA LTD,State,
INE131A01031,GUJARAT MINERAL DEV CORP LTD,state,
INE134E01011,POWER FINANCE CORPORATION,State,
INE136B01020,CYIENT LTD,Owner,
INE138Y01010,KFIN TECHNOLOGIES LTD,Professional,
INE139A01034,NATIONAL ALUMINIUM CO LTD,State,
INE139R01012,FUSION FINANCE LTD,Owner,
INE140A01024,PIRAMAL ENTERPRISES LTD,Owner,
INE142Q01026,SULA VINEYARDS LTD,Owner,
INE144Z01023,TARSONS PRODUCTS LTD,Owner,
INE146L01010,KIRLOSKAR OIL ENGINES LTD,Owner,
INE148O01028,DELHIVERY LTD,Professional,
INE149A01033,CHOLAMANDALAM FINANCIAL HOLD,Owner,
INE150G01020,LUX INDUSTRIES LTD,Owner,
INE151A01013,TATA COMMUNICATIONS LTD,Professional,
INE152A01029,THERMAX LTD,Owner,
INE152M01016,TRIVENI TURBINE LTD,Owner,
INE153T01027,BLS INTERNATIONAL LTD,Owner,
INE154A01025,ITC LTD,Professional,
INE158A01026,HERO MOTOCORP LTD,Owner,
INE160A01022,PUNJAB NATIONAL BANK,State,
INE163A01018,NOCIL LTD,Owner,
INE164A01016,BALMER LAWRIE & CO LTD,State,
INE168A01041,JAMMU & KASHMIR BANK LTD,State,
INE169A01031,COROMANDEL INTERNATIONAL LTD,Owner,
INE171A01029,FEDERAL BANK LTD,Professional,
INE171Z01026,BHARAT DYNAMICS LTD,State,
INE172A01027,CASTROL INDIA LTD,MNC,
INE175A01038,JAIN IRRIGATION SYSTEMS LTD,Owner,
INE176A01028,BATA INDIA LTD,MNC,
INE176B01034,HAVELLS INDIA LTD,Owner,
INE177H01039,GODAWARI POWER AND ISPAT LTD,Owner,
INE178A01016,CHENNAI PETROLEUM CORP LTD,State,
INE179A01014,PROCTER & GAMBLE HYGIENE,MNC,
INE180A01020,MAX FINANCIAL SERVICES LTD,Owner,
INE180C01042,CAPRI GLOBAL CAPITAL LTD,Owner,
INE182A01018,PFIZER LIMITED,MNC,
INE183A01024,FINOLEX INDUSTRIES LTD,Owner,
INE186A01019,GUJARAT ALKALIES & CHEMICALS,State,
INE188A01015,FERTILISERS & CHEM TRAVANCR,State,
INE191B01025,WELSPUN CORP LTD,Owner,
INE191H01014,PVR INOX LTD,Owner,
INE192A01025,TATA CONSUMER PRODUCTS LTD,Professional,
INE192R01011,AVENUE SUPERMARTS LTD,Owner,
INE195A01028,SUPREME INDUSTRIES LTD,Owner,
INE195J01029,PNC INFRATECH LTD,Owner,
INE196A01026,MARICO LTD,Owner,
INE199A01012,PROCTER & GAMBLE HEALTH LTD,MNC,
INE200M01039,VARUN BEVERAGES LTD,Owner,
INE201P01022,G R INFRAPROJECTS LTD,Owner,
INE203G01027,INDRAPRASTHA GAS LTD,State,
INE205A01025,VEDANTA LTD,Owner,
INE205B01031,ELECON ENGINEERING CO LTD,Owner,
INE205C01021,POLY MEDICURE LTD,Owner,
INE208A01029,ASHOK LEYLAND LTD,Owner,
INE209L01016,JUPITER WAGONS LTD,Owner,
INE211B01039,PHOENIX MILLS LTD,Owner,
INE212H01026,AIA ENGINEERING LTD,Owner,
INE213A01029,OIL & NATURAL GAS CORP LTD,State,
INE216A01030,BRITANNIA INDUSTRIES LTD,Owner,
INE216P01012,AAVAS FINANCIERS LTD,Professional,
INE217B01036,KAJARIA CERAMICS LTD,Owner,
INE220B01022,KALPATARU PROJECTS INTERNATI,Owner,
INE220G01021,JINDAL STAINLESS LTD,Owner,
INE224A01026,GREAVES COTTON LTD,Owner,
INE226A01021,VOLTAS LTD,Professional,
INE227W01023,CLEAN SCIENCE & TECHNOLOGY L,Owner,
INE228A01035,USHA MARTIN LTD,Owner,
INE230A01023,EIH LTD,Owner,
INE232I01014,SUN PHARMA ADVANCED RESEARCH,Owner,
INE233A01035,GODREJ INDUSTRIES LTD,Owner,
INE235A01022,FINOLEX CABLES LTD,Owner,
INE237A01036,KOTAK MAHINDRA BANK LTD,Owner,
INE238A01034,AXIS BANK LTD,Professional,
INE239A01024,NESTLE INDIA LTD,MNC,
INE242A01010,INDIAN OIL CORP LTD,State,
INE242C01024,ANANT RAJ LTD,Owner,
INE244B01030,PATEL ENGINEERING LTD,Owner,
INE244O01017,UNIPARTS INDIA LTD,Owner,
INE245A01021,TATA POWER CO LTD,Professional,
INE246F01010,GUJARAT STATE PETRONET LTD,State,
INE248A01017,ITI LTD,State,
INE249Z01020,MAZAGON DOCK SHIPBUILDERS LT,State,
INE251B01027,ZEN TECHNOLOGIES LTD,Owner,
INE255A01020,EPL LTD,MNC,
INE255X01014,MSTC LTD,State,
INE256A01028,ZEE ENTERTAINMENT ENTERPRISE,Owner,
INE256C01024,TRIVENI ENGINEERING & INDUS,Owner,
INE257A01026,BHARAT HEAVY ELECTRICALS,State,
INE258A01024,BEML LTD,State,
INE259A01022,COLGATE PALMOLIVE (INDIA),MNC,
INE260B01028,GODFREY PHILLIPS INDIA LTD,Owner,
INE260D01016,OLECTRA GREENTECH LTD,Owner,
INE262H01021,PERSISTENT SYSTEMS LTD,Owner,
INE263A01024,BHARAT ELECTRONICS LTD,State,
INE263M01029,KEYSTONE REALTORS LTD,Owner,
INE267A01025,HINDUSTAN ZINC LTD,Owner,
INE269A01021,SONATA SOFTWARE LTD,Owner,
INE270A01029,ALOK INDUSTRIES LTD,Owner,
INE271B01025,MAHARASHTRA SEAMLESS LTD,Owner,
INE271C01023,DLF LTD,Owner,
INE274F01020,WESTLIFE FOODWORLD LTD,Owner,
INE274G01010,DHANI SERVICES LTD,Owner,
INE274J01014,OIL INDIA LTD,State,
INE278Y01022,CAMPUS ACTIVEWEAR LTD,Owner,
INE280A01028,TITAN CO LTD,Professional,
INE285A01027,ELGI EQUIPMENTS LTD,Owner,
