index_name,symbol,priority,fetched_at
NIFTY BANK,ICICIBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,HDFCBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,SBIN,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,AXISBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,KOTAKBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,UNIONBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,BANKBARODA,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,CANBK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,FEDERALBNK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,PNB,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,AUBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,YESBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,INDUSINDBK,,2026-04-14T01:22:41.013948+00:00
NIFTY BANK,IDFCFIRSTB,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,ICICIBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,HDFCBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,BSE,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,SBIN,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,AXISBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,KOTAKBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,BAJFINANCE,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,SHRIRAMFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,CHOLAFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,PFC,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,JIOFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,HDFCLIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,BAJAJFINSV,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,RECLTD,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,MUTHOOTFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,SBILIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,MFSL,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,SBICARD,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,LICHSGFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY FIN SERVICE,ICICIGI,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,BSE,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,BHEL,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,SUZLON,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,DIXON,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,HEROMOTOCO,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,ASHOKLEY,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,POLYCAB,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,HINDPETRO,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,SWIGGY,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,PERSISTENT,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,POLICYBZR,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,PAYTM,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,BHARATFORG,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,LICI,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,AUROPHARMA,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,LUPIN,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,SRF,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,MARICO,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,INDIANB,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,AUBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,YESBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,INDUSINDBK,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,INDUSTOWER,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,NAUKRI,,2026-04-14T01:22:41.013948+00:00
NIFTY MID SELECT,FORTIS,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ICICIBANK,,2026-04-14T01:22:41.013948+00:00
