symbol,company_name,isin,report_date,promoter_total_pct,hufi_num,hufi_pct,nri_num,nri_pct,dir_num,dir_pct,kmp_num,kmp_pct,rel_num,rel_pct,trust_num,trust_pct,natural_num_sum,natural_pct_sum,other_indian_pct,other_foreign_pct,foreign_non_govt_pct,govt_pct,promoter_names_full_list,owner_flag,ai_review_needed,owner_flag_ai,ai_confidence,ai_reasoning,owner_flag_final,nse_fetch_status
20MICRONS,,INE144J01027,2025-12-31,45.04,4,20.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,20.48,24.56,0.0,0.0,0.0,IONIX ADVANCED MATERIALS PRIVATE LIMITED|VEDIKA RAJESH PARIKH|RAJESH CHANDRESH PARIKH|ILABEN CHANDRESH PARIKH|ATIL CHANDRESH PARIKH,owner_confirmed_individual,False,,,,OWNER,ok
21STCENMGM,,INE253B01015,2026-03-31,64.43,6,64.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,64.43,0.0,0.0,0.0,0.0,VANAJA SUNDAR IYER|SUNDAR IYER|SIDDHARTH IYER|SHRIDHAR P IYER|KRISHNAN M|KARTHIK SUNDAR|EBRAHIM Y RANGOONWALA,owner_confirmed_individual,False,,,,OWNER,ok
3MINDIA,,INE470A01017,2025-12-31,75.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0.0,75.0,75.0,0.0,3M COMPANY,excluded_no_natural_no_holding,False,,,,NOT_OWNER,ok
3PLAND,,INE105C01023,2025-12-31,73.3,2,5.16,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,3,5.16,68.14,0.0,0.0,0.0,YASHVARDHAN JATIA TRUST- TRUSTEES-ARUNKUMAR MAHABIRPRASAD JATIA AND GAUTAM N JAJODIA|VRINDA JATIA TRUST-TRUSTEES-ARUNKUMAR MAHABIRPRASAD JATIA AND GAUTAM N JAJODIA|VASUDHA JATIA TRUST-TRUSTEES-ARUNKUMAR MAHABIRPRASAD JATIA AND GAUTAM N JAJODIA|THACKER AND COMPANY LIMITED|SUMA COMMERCIAL PRIVATE LIMITED|QUALITY TISSUE CONVERTING COMPANY PRIVATE LIMITED|PUDUMJEE PAPER PRODUCTS LIMITED|MOSSMARK LLP|MAHABIRPRASAD JATIA FAMILY TRUST|DIPPER HEALTH CARE PRIVATE LIMITED|CHEM MACH PRIVATE LIMITED|BIODEGRADABLE PRODUCTS INDIA LIMITED|ARUN JATIA HUF|AMJ REALTY LIMITED|AMJ LAND HOLDINGS LIMITED|AMJ LAND DEVELOPERS|VRINDA JATIA|VASUDA JATIA|YASHVARDHAN JATIA|ARUNKUMAR MAHABIR PRASAD JATIA,owner_confirmed_individual_and_director,False,,,,OWNER,ok
5PAISA,,INE618L01018,2025-12-31,32.78,7,32.27,0,0.0,0,0.0,1,0.03,3,0.79,0,0.0,11,33.09,0.51,0.0,0.0,0.0,Orpheus Trading Private Limited|Ardent Impex Private Limited|Venkataraman Rajamani|Nirmal Bhanwarlal Jain|Mansukhlal Jain & Pritesh Mehta (in their capacity as Trustee of Nirmal Madhu Family Private Trust)|Madhu N Jain|Harshita Nirmal Jain|Aditi Avinash Athavankar (in the capacity as Trustee of Kalki Family Private Trust)|Aditi Athavankar,owner_confirmed_individual_and_director,False,,,,OWNER,ok
A2ZINFRA,,INE619I01012,2025-12-31,28.14,2,15.54,0,0.0,3,0.02,1,0.0,0,0.0,0,0.0,6,15.56,12.61,0.0,0.0,0.0,MESTRIC CONSULTANTS PRIVATE LIMITED|DEVDHAR TRADING AND CONSULTANTS PVT. LTD.|PRIYA GOEL|DIPALI MITTAL|AMIT MITTAL,owner_confirmed_individual_and_director,False,,,,OWNER,ok
AAKASH,,INE087Z01024,2026-03-31,66.54,7,66.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,66.54,0.0,0.0,0.0,0.0,Vipul N. Haria - HUF|Vihan Vipul Haria|Vasumati Pravin Haria|VIPUL NAVINCHANDRA HARIA|URVI  HEMANG  HARIA|SNEHA KRUNAL HARIA|Pravin Varshibhai Haria|Pragnesh Devchandra Shah|Neha Himanshu Haria|Navin V. Haria - HUF|NAVINCHANDRA VERSHIBHAI HARIA|Krutika Pragnesh Shah|Krunal P. Haria - HUF|Kahaan Hemang Haria|KRUNAL PRAVIN HARIA|Jitendra Thakersinh Soni|Himanshu Navinchandra Haria|Hemang N. Haria - HUF|HEMANG  NAVINBHAI  HARIA|Ekaansh Krunal Haria|Devni Hemang Haria|Chaitali Jitendra Soni|BIJAL VIPUL HARIA,owner_confirmed_individual,False,,,,OWNER,ok
AARTIDRUGS,,INE767A01016,2025-12-31,55.03,28,41.78,0,0.0,7,5.43,0,0.0,3,0.35,1,0.07,38,47.56,13.25,0.0,0.0,0.0,Tulip Family Trust (Gloire Trusteeship Services Private Limited)|Safechem Enterprises Private Limited|Paridhi Business Trust (Saswat Trusteeship Private Limited)|Orchid Family Trust (Relacion Trusteeship Services Private Limited)|Gogri Finserv Pvt. Ltd.|Dilesh Roadlines Pvt Ltd|Anushakti Enterprise Private Limited|Alchemie Finserv Pvt. Ltd.|Alchemie Financial Services Limited|Aashyav Business Trust (Alabhya Trusteeship Private Limited)|Aarti Life Science LLP|Aarti Industries Limited|Vishwa Harshit Savla|Vikas Moreshwar Patil|Uday Moreshwar Patil|Seema Harshit Savla|Renil Rajendra Gogri|Rashesh Chandrakant Gogri|Rajendra Vallabhaji Gogri|Priti Prakash Patil|Prakash Moreshwar Patil|Prakash M. Patil (HUF) (Karta - Prakash Moreshwar Patil)|Mirik Rajendra Gogri|Manisha Rashesh Gogri|Kenisha Savla|Kalika Amit Mishra|Jigna Hiren Shah|Jaya Chandrakant Gogri|Jay Manilal Savla|Indira Madan Dedhia|Hriman Savla|Hetal Gogri Gala|Harshit Manilal Savla|Harshit M. Savla (HUF) (Karta - Harshit Manilal Savla)|Chandrakant Vallabhaji Gogri|Bhoomi Harshit Savla|Arun Moreshwar Patil|Arti Rajendra Gogri|Arati Tushar Sankhe|Adhish P. Patil|Aashay Rashesh Gogri|Aarnav Rashesh Gogri|Jayshree Harit Shah|Harit Pragji Shah,owner_confirmed_individual_and_director,False,,,,OWNER,ok
AARTIIND,,INE769A01020,2025-12-31,42.14,27,26.75,1,0.17,5,0.98,2,0.0,0,0.0,0,0.0,35,27.9,15.22,0.0,0.0,0.01,"Valiant Organics Limited|TULIP FAMILY TRUST 
(Gloire Trusteeship Services Private Limited)|Safechem Enterprises Private Limited|ORCHID FAMILY TRUST 
(Relacion Trusteeship Services Private Limited)|Nikhil Holdings Private Limited|MANOMAYA BUSINESS TRUST 
(Alabhya Trusteeship Private Limited)|LOTUS FAMILY TRUST 
(Gloire Trusteeship Services Private Limited)|LABDHI BUSINESS TRUST 
(Saswat Trusteeship Private Limited)|JASMINE FAMILY TRUST 
(Relacion Trusteeship Services Private Limited)|Heena Family Private Trust 
(Barclays Wealth Trustees India Private Limited)|Gogri Finserv Pvt. Ltd.|Dilesh Roadlines Pvt Ltd|Bhavna Family Private Trust 
(Barclays Wealth Trustees India Pvt Ltd)|Anushakti Enterprise Private Limited|Alchemie Finserv Pvt. Ltd.|Alchemie Financial Services Limited|Bhanu Pradip Savla|Tarla Parimal Desai|Shreya Suneja|Shantilal Tejshi Shah HUF|Sarla Shantilal Shah|Renil Rajendra Gogri|Ratanben Premji Gogri|Rashesh Chandrakant Gogri|Rajendra Vallabhaji Gogri (HUF)|Rajendra Vallabhaji Gogri|Prasadi Yogesh Banatwala|Pooja Renil Gogri|Parimal Hasmukhlal Desai|Nikhil Parimal Desai|Nehal Garewal|Monisha Bhatia|Mirik Rajendra Gogri|Manisha Rashesh Gogri|Mananjay Singh Garewal|Jayesh Shah|Jaya Chandrakant Gogri|Indira Madan Dedhia|Hetal Gogri Gala|Heena Bhatia|Gunavanti Navin Shah|Chandrakant Vallabhaji Gogri|Bhavna Shah Lalka|Arti Rajendra Gogri|Aashay Rashesh Gogri|Aarnav Rashesh Gogri",owner_confirmed_individual_and_director,False,,,,OWNER,ok
AARTIPHARM,,INE0LRU01027,2025-12-31,43.1,30,28.35,1,0.17,2,0.01,2,0.0,0,0.0,0,0.0,35,28.53,14.58,0.0,0.0,0.01,Valiant Organics Limited|TULIP FAMILY TRUST (Gloire Trusteeship Services Private Limited)|Safechem Enterprises Private Limited|ORCHID FAMILY TRUST(Relacion Trusteeship Services Private Limited)|Nikhil Holdings Private Limited|MANOMAYA BUSINESS TRUST(Alabhya Trusteeship Private Limited)|LOTUS FAMILY TRUST(Gloire Trusteeship Services Private Limited)|LABDHI BUSINESS TRUST(Saswat Trusteeship Private Limited)|JASMINE FAMILY TRUST(Relacion Trusteeship Services Private Limited)|Heena Family Private Trust(Barclays Wealth Trustees India Private Limited)|Gogri Finserv Pvt. Ltd.|Dilesh Roadlines Pvt Ltd|Bhavna Family Private Trust(Barclays Wealth Trustees India Pvt Ltd)|Anushakti Enterprise Private Limited|Alchemie Finserv Pvt. Ltd.|Alchemie Financial Services Limited|AASHYAV BUSINESS TRUST(Alabhya Trusteeship Private Limited)|Bhanu Pradip Savla|Tarla Parimal Desai|Shreya Suneja|Shantilal Tejshi Shah Huf[Karta-Nehal Garewal]|Sarla Shantilal Shah|Renil Rajendra Gogri|Ratanben Premji Gogri|Rashesh Chandrakant Gogri|Rajendra Vallabhaji Gogri (Huf)[Karta-Rajendra Vallabhaji Gogri]|Rajendra Vallabhaji Gogri|Prasadi Yogesh Banatwala|Pooja Renil Gogri|Parimal Hasmukhlal Desai|Nikhil Parimal Desai|Nehal Garewal|Monisha Bhatia|Mirik Rajendra Gogri|Manisha Rashesh Gogri|Mananjay Singh Garewal|Krisha Yogesh Nahar|Jayesh Shah|Jaya Chandrakant Gogri|Indira Madan Dedhia|Hetvi Rohan Ghalla|Hetal Gogri Gala|Heena Bhatia|Gunavanti Navin Shah|Dinesh Devchand Ghalla|Chandrakant Vallabhaji Gogri|Bhavna Shah Lalka|Arti Rajendra Gogri|Aashay Rashesh Gogri|Aarnav Rashesh Gogri,owner_confirmed_individual_and_director,False,,,,OWNER,ok
