symbol,isin,company_name,owner_flag,owner_flag_final_hybrid,yaml_classification,owner_family,promoter_total_pct,natural_pct_sum,in_rev1,rev1_category,is_nifty50,is_nifty100,is_nifty200,is_nifty500,is_nifty_total_mkt
20MICRONS,INE144J01027,20 Microns Limited,owner_confirmed_individual,OWNER,UNKNOWN,,45.04,20.48,False,,False,False,False,False,False
21STCENMGM,INE253B01015,21st Century Management Services Limited,owner_confirmed_individual,OWNER,UNKNOWN,,64.43,64.43,False,,False,False,False,False,False
360ONE,INE466L01038,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,6.24,7.52,True,Owner,False,False,True,True,True
3PLAND,INE105C01023,3P Land Holdings Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,73.3,5.16,False,,False,False,False,False,False
5PAISA,INE618L01018,5Paisa Capital Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,32.78,33.09,False,,False,False,False,False,False
A2ZINFRA,INE619I01012,A2Z Infra Engineering Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,28.14,15.56,False,,False,False,False,False,False
AAATECH,INE0D0U01013,AAA Technologies Limited,owner_confirmed_individual,OWNER,UNKNOWN,,34.38,34.38,False,,False,False,False,False,False
AAKASH,INE087Z01024,Aakash Exploration Services Limited,owner_confirmed_individual,OWNER,UNKNOWN,,66.54,66.54,False,,False,False,False,False,False
AARTIDRUGS,INE767A01016,Aarti Drugs Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,55.03,47.63,True,Owner,False,False,False,False,True
AARTIIND,INE769A01020,Aarti Industries Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,42.14,27.9,True,Owner,False,False,False,True,True
AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,43.1,28.530000000000005,False,,False,False,False,False,True
ABDL,INE552Z01027,Allied Blenders and Distillers Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,80.91,77.6,False,,False,False,False,True,True
ACC,INE012A01025,ACC Limited,ambiguous_holding_indian,OWNER,UNKNOWN,,56.69,0.0,True,Owner,False,False,False,True,True
ACE,INE731H01025,Action Construction Equipment Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,65.42,65.44,True,Owner,False,False,False,True,True
ACI,INE128X01021,Archean Chemical Industries Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,53.43,23.01,True,Owner,False,False,False,False,True
ACMESOLAR,INE622W01025,Acme Solar Holdings Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,83.29,0.0,False,,False,False,False,True,True
ACUTAAS,INE00FF01025,Acutaas Chemicals Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,32.66,33.47,True,Owner,False,False,False,True,True
ADVENZYMES,INE837H01020,Advanced Enzyme Technologies Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,43.04,38.59,False,,False,False,False,False,True
AEQUS,INE947N01017,Aequs Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,59.08,0.6900000000000001,False,,False,False,False,False,True
AETHER,INE0BWX01014,Aether Industries Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,74.95,24.34,True,Owner,False,False,False,False,True
AFCONS,INE101I01011,Afcons Infrastructure Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,50.17,0.07,False,,False,False,False,True,True
AFFLE,INE00WC01027,Affle 3i Limited,owner_probable_nri_family,OWNER,UNKNOWN,,54.92,0.13,True,Owner,False,False,False,True,True
AGARWALEYE,INE943P01029,Dr. Agarwal's Health Care Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,32.36,26.75,False,,False,False,False,False,True
AGI,INE415A01038,AGI Greenpac Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,60.24,9.41,True,Owner,False,False,False,False,False
AHLUCONT,INE758C01029,Ahluwalia Contracts (India) Limited,owner_confirmed_individual,OWNER,UNKNOWN,,55.32,55.28,False,,False,False,False,False,True
AIAENG,INE212H01026,AIA Engineering Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,58.5,58.51,True,Owner,False,False,False,True,True
AIIL,INE206F01022,Authum Investment & Infrastructure Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,68.79,65.3,False,,False,False,False,True,True
AJANTPHARM,INE031B01049,Ajanta Pharma Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,66.25,56.190000000000005,True,Owner,False,False,False,True,True
AKUMS,INE09XN01023,Akums Drugs and Pharmaceuticals Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,75.26,34.47,False,,False,False,False,False,True
ALKEM,INE540L01014,Alkem Laboratories Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,51.2,51.2,True,Owner,False,False,True,True,True
ALKYLAMINE,INE150B01039,Alkyl Amines Chemicals Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,72.03,62.98,False,,False,False,False,False,True
AMBER,INE371P01015,Amber Enterprises India Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,38.19,38.239999999999995,True,Owner,False,False,False,True,True
ANANDRATHI,INE463V01026,Anand Rathi Wealth Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,43.11,20.52,True,Owner,False,False,False,True,True
ANANTRAJ,INE242C01024,Anant Raj Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,57.41,52.86,True,Owner,False,False,False,True,True
ANGELONE,INE732I01021,Angel One Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,28.87,22.29,True,Owner,False,False,False,True,True
ANTHEM,INE0CZ201020,Anthem Biosciences Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,74.69,72.67,False,,False,False,False,True,True
ANUP,INE294Z01018,The Anup Engineering Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,40.92,0.43,False,,False,False,False,False,True
ANURAS,INE930P01018,Anupam Rasayan India Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,59.07,20.97,True,Owner,False,False,False,True,True
APARINDS,INE372A01015,Apar Industries Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,57.77,46.09,True,Owner,False,False,False,True,True
APLAPOLLO,INE702C01027,APL Apollo Tubes Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,28.27,1.68,True,Owner,False,False,True,True,True
APLLTD,INE901L01018,Alembic Pharmaceuticals Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,69.74,6.6899999999999995,False,,False,False,False,False,True
APOLLO,INE713T01028,Apollo Micro Systems Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,51.98,53.9,False,,False,False,False,False,True
APOLLOHOSP,INE437A01024,Apollo Hospitals Enterprise Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,28.02,9.03,True,Owner,True,True,True,True,True
APOLLOPIPE,INE126J01016,Apollo Pipes Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,51.72,53.02,True,Owner,False,False,False,False,False
APOLLOTYRE,INE438A01022,Apollo Tyres Limited,owner_confirmed_individual,OWNER,UNKNOWN,,36.93,0.44,True,Owner,False,False,False,True,True
APTUS,INE852O01025,Aptus Value Housing Finance India Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,23.87,23.97,True,Owner,False,False,False,True,True
ARE&M,INE885A01032,Amara Raja Energy & Mobility Limited,ambiguous_holding_indian,OWNER,UNKNOWN,,32.86,0.0,True,Owner,False,False,False,True,True
