symbol,company_name,isin,owner_flag,owner_flag_final,owner_flag_final_hybrid,yaml_classification,yaml_matched_detail,judge,in_rev1,rev1_category,rev1_company_name,promoter_total_pct,natural_pct_sum,hufi_pct,dir_pct,kmp_pct,rel_pct,trust_pct,other_indian_pct,other_foreign_pct,foreign_non_govt_pct,govt_pct,ai_review_needed,owner_flag_ai,ai_confidence,ai_reasoning,promoter_names_full_list
3PLAND,,INE105C01023,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,73.3,5.16,5.16,0.0,0.0,0.0,0.0,68.14,0.0,0.0,0.0,False,,,,YASHVARDHAN JATIA TRUST- TRUSTEES-ARUNKUMAR MAHABIRPRASAD JATIA AND GAUTAM N JAJODIA|VRINDA JATIA TRUST-TRUSTEES-ARUNKUMAR MAHABIRPRASAD JATIA AND GAUTAM N JAJODIA|VASUDHA JATIA TRUST-TRUSTEES-ARUNKUMAR MAHABIRPRASAD JATIA AND GAUTAM N JAJODIA|THACKER AND COMPANY LIMITED|SUMA COMMERCIAL PRIVATE LIMITED|QUALITY TISSUE CONVERTING COMPANY PRIVATE LIMITED|PUDUMJEE PAPER PRODUCTS LIMITED|MOSSMARK LLP|MAHABIRPRASAD JATIA FAMILY TRUST|DIPPER HEALTH CARE PRIVATE LIMITED|CHEM MACH PRIVATE LIMITED|BIODEGRADABLE PRODUCTS INDIA LIMITED|ARUN JATIA HUF|AMJ REALTY LIMITED|AMJ LAND HOLDINGS LIMITED|AMJ LAND DEVELOPERS|VRINDA JATIA|VASUDA JATIA|YASHVARDHAN JATIA|ARUNKUMAR MAHABIR PRASAD JATIA
5PAISA,,INE618L01018,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,32.78,33.09,32.27,0.0,0.03,0.79,0.0,0.51,0.0,0.0,0.0,False,,,,Orpheus Trading Private Limited|Ardent Impex Private Limited|Venkataraman Rajamani|Nirmal Bhanwarlal Jain|Mansukhlal Jain & Pritesh Mehta (in their capacity as Trustee of Nirmal Madhu Family Private Trust)|Madhu N Jain|Harshita Nirmal Jain|Aditi Avinash Athavankar (in the capacity as Trustee of Kalki Family Private Trust)|Aditi Athavankar
A2ZINFRA,,INE619I01012,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,28.14,15.56,15.54,0.02,0.0,0.0,0.0,12.61,0.0,0.0,0.0,False,,,,MESTRIC CONSULTANTS PRIVATE LIMITED|DEVDHAR TRADING AND CONSULTANTS PVT. LTD.|PRIYA GOEL|DIPALI MITTAL|AMIT MITTAL
AARTIPHARM,,INE0LRU01027,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,43.1,28.53,28.35,0.01,0.0,0.0,0.0,14.58,0.0,0.0,0.01,False,,,,Valiant Organics Limited|TULIP FAMILY TRUST (Gloire Trusteeship Services Private Limited)|Safechem Enterprises Private Limited|ORCHID FAMILY TRUST(Relacion Trusteeship Services Private Limited)|Nikhil Holdings Private Limited|MANOMAYA BUSINESS TRUST(Alabhya Trusteeship Private Limited)|LOTUS FAMILY TRUST(Gloire Trusteeship Services Private Limited)|LABDHI BUSINESS TRUST(Saswat Trusteeship Private Limited)|JASMINE FAMILY TRUST(Relacion Trusteeship Services Private Limited)|Heena Family Private Trust(Barclays Wealth Trustees India Private Limited)|Gogri Finserv Pvt. Ltd.|Dilesh Roadlines Pvt Ltd|Bhavna Family Private Trust(Barclays Wealth Trustees India Pvt Ltd)|Anushakti Enterprise Private Limited|Alchemie Finserv Pvt. Ltd.|Alchemie Financial Services Limited|AASHYAV BUSINESS TRUST(Alabhya Trusteeship Private Limited)|Bhanu Pradip Savla|Tarla Parimal Desai|Shreya Suneja|Shantilal Tejshi Shah Huf[Karta-Nehal Garewal]|Sarla Shantilal Shah|Renil Rajendra Gogri|Ratanben Premji Gogri|Rashesh Chandrakant Gogri|Rajendra Vallabhaji Gogri (Huf)[Karta-Rajendra Vallabhaji Gogri]|Rajendra Vallabhaji Gogri|Prasadi Yogesh Banatwala|Pooja Renil Gogri|Parimal Hasmukhlal Desai|Nikhil Parimal Desai|Nehal Garewal|Monisha Bhatia|Mirik Rajendra Gogri|Manisha Rashesh Gogri|Mananjay Singh Garewal|Krisha Yogesh Nahar|Jayesh Shah|Jaya Chandrakant Gogri|Indira Madan Dedhia|Hetvi Rohan Ghalla|Hetal Gogri Gala|Heena Bhatia|Gunavanti Navin Shah|Dinesh Devchand Ghalla|Chandrakant Vallabhaji Gogri|Bhavna Shah Lalka|Arti Rajendra Gogri|Aashay Rashesh Gogri|Aarnav Rashesh Gogri
ABDL,,INE552Z01027,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,80.91,77.6,77.6,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,False,,,,Woodpecker Properties Private Limited|Woodpecker Investments Private Limited|Tripureshwari Properties Private Limited|Tracstar Investments Private Limited|Tracstar Distilleries Private Limited|Sureshwar Realtors Private Limited|Starvoice Trading Private Limited|Starvoice Properties Private Limited|Starvoice Investments Private Limited|Someswar Realtors Private Limited|Shree Emati Investment Private Limited|Sangmeshwar Realtors Private Limited|S T Holdings Private Limited|Royal Spirits Private Limited|Resham Family Trust|Rayonyarns Import Company Private Limited|Ranibai Realtors Private Limited|Rajaram Properties Private Limited|Raja Radios - Proprietorship concern|Power Brands Enterprises India Private Limited|Oriental Radios Pvt Ltd|Officers Choice Spirits Private Limited|Netravathi Estates Private Limited|Neesha Family Trust|Nebraska Enterprises Private Limited|Matangi Realtors Private Limited|Marleshwar Properties Private Limited|Marengo Trading And Properties Private Limited|Marengo Investment & Trading Company Private Limited|Manoharlal Realtors Private Limited|Madhvi Properties Private Limited|Luminary Properties Private Limited|Lajwanti Properties Private Limited|Lachmandas Properties Private Limited|Krabon Enterprises Private Limited|Kedareshwar Properties Private Limited|Kartik Finance And Investments Private Limited|Karbon Enterprises Private Limited|Kapardi Finvest Private Limited|Kamla Realtors Private Limited|Jive Properties And Trading Company Private Limited|Iconiq Spirits India Private Limited|Iconiq Brands India Private Limited|Giribala Properties Private Limited|Dropadi Estates Private Limited|Borank Ventures LLP|Borank Enterprises Private Limited|Bina Chhabria Enterprises Private Limited|Benco Properties Private Limited|Ballet Properties And Trading Private Limited|BKC Trading Private Limited|BKC Family Trust – II|BKC Family Trust – I|BKC Estates Private Limited|BKC Enterprises Private Limited|BKC Dwellings Private Limited|BKC Abode Private Limited|BDA Private Limited|Ashoka Liquors Private Limited|Amar Ghanasingh (Partnership Concern)|ABD Realtors Private Limited|ABD Homes Private Limited|ABD Estates Private Limited|A. G. Hospitality|Shyam Luthria|Resham Chhabria J Hemdev|Rajni K Chhabria|Preeti Shah|Om Jeetendra Hemdev|Neesha Kishore Chhabria|Kishore Rajaram Chhabria|Jeetendra A Hemdev|Bina Kishore Chhabria|Anju Amar Hemdev|Amar Ghanasingh Hemdev
ABLBL,,INE14LE01019,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[KUMAR MANGALAM BIRLA(Birla),Birla Group Holdings(Birla),Bajaj(Bajaj)]",rev1_outside,False,,,46.6,0.27,0.2,0.07,0.0,0.0,0.0,46.4,0.0,0.0,0.0,False,,,,Pilani Investment And Industries|Igh Holdings Private Limited|Hindalco Industries Limited|Grasim Industries Ltd|ECE Industries|Birla Industrial Investments India Limited|Birla Industrial Finance  India Limited|Birla Group Holdings Private Limited|Birla Consultants Limited|Abnl Investment Limited|Vasavadatta Bajaj|Rajashree Birla|Neerja Birla|Kumar Mangalam Birla|Aditya Vikram Kumarmangalam Birla HUF|ARYAMAN VIKRAM BIRLA
ACMESOLAR,,INE622W01025,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,83.29,0.0,0.0,0.0,0.0,0.0,0.0,83.29,0.0,0.0,0.0,False,,,,Yogesh Power Private Limited|VRS INFOTECH PVT LTD (Nominee of ACSPL)|Upadhyay Financial Ventures LLP|Upadhyay Family Trust|Sunworld Innovations Private Limited|Shakrish Healthcare LLP|Scoria Power Private Limited|Sampkarya Services Private Limited|SMSW Lab & Research Centre LLP|Renewtech Real Estate Private Limited|Moolchand Industrial Estate Private Limited|Mahisagar Power Private Limited|MKU HOLDINGS PVT LTD (Nominee of ACSPL)|Dubey Energy Private Limited|Dayanidhi Realty Private Limited|Banola Power Private Limited|ACME Wind Power (TENKASI) Pvt. Ltd. (formerly known as Reliance Big Pvt Ltd)|ACME Wind Power (TENKASI) One Pvt. Ltd. (formerly known as Reliance Infrastructure Consulting and Engineers Pvt Ltd)|ACME NU Technologies Private Limited|ACME NU Renewables Private Limited|ACME NU Industries Private Limited|ACME NU Energy Storage Solution Private Limited|ACME Greentech Urja Private Limited|ACME Greentech Foods Private Limited|ACME Green Metals Private Limited|ACME Green Hydrogen and Chemicals Private Ltd|ACME Green Hydrogen Two Private Limited|ACME Green Hydrogen One Private Limited|ACME Global Green Hydrogen Private Limited|ACME Delta Urja Private Limited|ACME Clean Energy Private Limited|ACME CLEANTECH SOLUTIONS PVT LTD|ACME Akshay Energy Private Limited|Sustainable Superfoods (UK) Pvt Ltd|Oman Green Solutions (UK) Pvt Ltd|Oman Green Hydrogen & Chemicals (UK) Pvt Ltd|Gulf Energy Tech FZE|Green Hydrogen and Chemicals SAOC|ESF Equipment Trading FZCO|CleanTech Solutions LLC|Acme Tele Power (Mauritius) Pvt Ltd|Acme GreenTech Ventures FZCO|ACME Services (Tanzania) Limited|ACME GreenTech Ventures LLC|ACME GreenTech Ventures Americas Inc.|ACME Green Hydrogen One LLC|ACME Green Hydrogen & Chemicals (UK) Pvt Ltd|ACME Cleantech Ventures (UK) Pvt Ltd|Namrata Mishra|Shel Kumari|Ram Bilash Mishra|Pratima Mishra|Pragya Mishra|Neelam Pandey|Medha Upadhyay|MANOJ KUMAR UPADHYAY (Nominee of ACSPL)|MAMTA UPADHYAY (Nominee of ACSPL)|Krishna Milan Upadhyay|Bhawana Mishra|Aum Upadhyay
ADVENZYMES,,INE837H01020,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,43.04,38.59,1.95,1.7,0.16,0.39,0.0,0.0,6.7,6.7,0.0,False,,,,Atharva Green Ecotech LLP|Advenza Global Limited|Vasant and Prabha Rathi Generation Trust|Vasant  Rathi|Reshma Namita Rathi|Rasika Vasant Rathi|Rachana Vasant Rathi|Prabhavati Vasant Rathi|Sunil Ramdayal Attal|Snehal Shamsunder Soni|Shruti Sharad Dhamdhere|Savita Chandrakumar Rathi|Radhika Ashish Pujara|Pratik Prakash Kokane|Pramila Shamsunder Soni|Piyush Chandrakumar Rathi|Payal Akshay Kulkarni|Megha  Jhawar|Madhusudan Kabra|Kishor Laxminarayan Rathi HUF|Kishor Laxminarayan Rathi|Jayesh Madhusudan Soni|Dhanyakumar Kishor Gadiya|Chandrakumar Laxminarayan Rathi|Mukund Madhusudan Kabra
AEQUS,,INE947N01017,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,59.08,0.69,0.28,0.11,0.03,0.0,0.0,14.98,43.55,43.55,0.0,False,,,,Naveen Developers and Builders|Nandi Estate Developers and Builders|Melligeri Private Family Foundation ( Melligeri Family Trustee Services Private Limited)|MFRE Properties Private Trust|MFO Advisory Services LLP|Let’s Service Automotive Technologies Private Limited|Jayaalaxmi Mineral Private Limited|The Melligeri Foundation|Melligeri Investments LLC|Melligeri Family Trust|Melligeri Family Irrevocable Trust|Mayflower Investments LLC|MFRE Texas Holdings LLC|MFRE Taris LLC|Ask Air Lease LLC|Arabian Private Adventure Co. LLC|Aequs Manufacturing Investments Private Limited|Aequs Inc|Nikhil Aravind Melligeri|Megha Aravind Melligeri|Aravind Shivaputrappa Melligeri|Akkamahadevi Aravind Melligeri|Akhil Aravind Melligeri|VIJAYA BASAVRAJ SUGANDHI|VENKATESH SHIVAPUTRAPPA MELLIGERI|LEELA B NAIKAR|JAGADISH  MELLIGERI|BASAVANT APPANNA PATIL|BABASAHEB APPANA PATIL
AFCONS,,INE101I01011,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,rev1_outside,False,,,50.17,0.07,0.0,0.07,0.0,0.0,0.0,50.17,0.0,0.0,0.0,False,,,,Western Trading|West Star Finance And Investments Private Limited|West Coast Liquid Terminal Private Limited|Volkart Fleming Shipping and Services Limited|United Motors (India) Private Limited|Trend Setter Realty Private Limited|Synapse Motors Private Limited|Sunny Recreational Property Developers Private Limited|Sundock Investment Private Limited|Stonebricks Property Development Private Limited|Stonebricks Developers Private Limited|Sterling and Wilson Security Systems Private Limited|Sterling and Wilson Property Developers Private Limited|Sterling and Wilson Private Limited|Sterling and Wilson Jindun Consortium|Sterling and Wilson Enel X e-Mobility Private Limited|Sterling Viking Power Private Limited|Sterling Motors|Sterling Investment Corporation Private Limited|Sterling Green Power Solutions Private Limited|Sterling And Wilson Co-Gen Solutions Private Limited|Steppe Developers Private Limited|Space Square Developers Private Limited|Sovereign Pharma Private Limited|Simar Port Private Limited|Silver Stream Realty Private Limited|Silver Streak Investments Private Limited|Shayrus Ventures Private Limited|Shatranj Properties Private Limited|Sharus Steel Products Private Limited|Shapoorji Pallonjii Pandoh Takoli Highways Private Limited|Shapoorji Pallonji Water & Enviro Infra Private Limited|Shapoorji Pallonji Rural Solutions Private Limited|Shapoorji Pallonji Projects Private Limited|Shapoorji Pallonji Ports Private Limited|Shapoorji Pallonji Oil and Gas Godavari Private Limited|Shapoorji Pallonji Metamix Private Limited|Shapoorji Pallonji Investment Advisors Private Limited|Shapoorji Pallonji Infrastructure Capital Company Private Limited|Shapoorji Pallonji Homes Private Limited|Shapoorji Pallonji Forbes Shipping Private Limited|Shapoorji Pallonji Finance Private Limited|Shapoorji Pallonji Estate Developers Private Limited|Shapoorji Pallonji Energy Private Limited|Shapoorji Pallonji Energy Integrated Solutions Private Limited|Shapoorji Pallonji Energy (Gujarat) Private Limited|Shapoorji Pallonji ESG Assets Private Limited|Shapoorji Pallonji Development Managers Private Limited|Shapoorji Pallonji Defence and Marine Engineering Private Limited|Shapoorji Pallonji Cement (Gujarat) Private Limited|Shapoorji Pallonji And Company Private Limited|Shapoorji Pallonji And Co - KIPL Sewerage|Shapoorji Pallonji And Co - KIPL JV|Shapoorji Hotels Private Limited|Shapoorji Data Processing Private Limited|Shapoorji - AECOS Construction Private Limited|Shachin Real Estates Private Limited|Seaward Realty Private Limited|Satori Property Developers Private Limited|Sashwat Energy Private Limited|Samalpatti Power Company Private Limited|Sagar Premi Builders and Developers Private Limited|SP-NMJ Project Private Limited|SP Trading|SP Port Maintenance Private Limited|SP Imperial Star Private Limited|SP Finance Private Limited|SP Aluminium Systems Private Limited|SP Advanced Engineering Materials Private Limited|SMCM Holdings Private Limited|S.P. Engineering Services Pte. Ltd.|S. D. Town Development Private Limited|S. C. Motors|S. C. Impex Private Limited|S P Fabricators Private Limited|S P Architectural Coatings Private Limited|S D Recreational Services Private Limited|S D Powai Redevelopment Private Limited|S D Corporation Holdings Private Limited|S C Motors Private Limited|S C Finance and Investments Private Limited|S & C Corporation|Roxanna Consultancy Services Private Limited|Rihand Floating Solar Private Limited|Renaissance Commerce Private Limited|Range Consultants Private Limited|Ramili Investments Private Limited|Porteast Investment  Private  Limited|Pallonji Shapoorji And Company Private Limited|Ostendo Consultancy Services Private Limited|Ogbridge Investment Private Limited|Nuevo Consultancy Services Private Limited|Next Gen Publishing Private Limited|Newtech Planners & Consultancy Services Private Limited|Neil Properties Private Limited|Nandadevi Infrastructure Private Limited|Mydream Properties Private Limited|Mistry Ventures LLP|Mistry Advanced Nutrition Centre Private Limited|Mirth Property Developers Private Limited|Minaean Habitat India Private Limited|Mileage Properties Private Limited|Mazson Builders and Developers Private Limited|Manor Stud Farm Private Limited|Manjri Horse Breeders’ Farm Private Limited|Mangalesh Ventures Private Limited|Magpie Finance Private Limited|Kutch Sea Water Desalination Private Limited|Kanpur River Management Private Limited|Jaykali Developers Private Limited|Intellus Investment Private Limited|Hix Trading|Hermes Commerce Private Limited|Hampus Consultancy Services Private Limited|Green Lawn Finance and Investments Private Limited|Greatdesign Realty Private Limited|Greatbuild Realty Private Limited|Goswami Infratech Private Limited|Gokak Textiles Limited|Gokak Power & Energy Limited|Gir Somnath Desalination Private Limited|Gallops Developers Private Limited|G.S. Enterprises|Forvol International Services Limited|Forbes Technosys Limited|Forbes Precision Tools and Machine Parts Limited|Forbes Macsa Private Limited|Forbes Cambell Finance Limited|Forbes & Company Limited|Flotilla Finance Private Limited|Floreat Investments Private Limited|Floral Finance Private Limited|Flooraise Developers Private Limited|Flamboyant Developers Private Limited|Filippa Farms Private Limited|Fayland Estates Private Limited|Evangelos Ventures Private Limited|Elfbridge Investment Private Limited|Elaine Renewable Energy Private Limited|Egni Generation Private Limited|ESP Port Solutions Private Limited|ESP Diabolical Private Limited|Dwarka Sea Water Desalination Private Limited|Dhan Gaming Solution (India) Private Limited|Devine Realty and Construction Private Limited|Delna Finance and Investments Private Limited|Day Star Trading Private Limited|Cyrus Investments Private Limited|Cyrus Engineers Private Limited|Cyrus Chemicals Private Limited|Capespan Investment Private Limited|Campbell Properties and Hospitality Services Limited|Callidora Farms Private Limited|CPM Nexgen Ventures LLP|Buildglobe Infrastructure Private Limited|Buildbazaar Technologies (India) Private Limited|Blue Ribbon Finance & Investments Private Limited|Blue Riband Properties Private Limited|Blue Arrow Finance Company Private Limited|Blessing Properties Private Limited|Bhavnagar Desalination Private Limited|Bengal Shapoorji Infrastructure Development Private Limited|Belva Farms Private Limited|Behold Space Developers Private Limited|Bangalore Streetlighting Private Limited|Balgad Power Company Private Limited|Awesome Properties Private Limited|Aurinko Energy Private Limited|Atnu Solar Private Limited|Arna Immuno Ingredients Private Limited|Arina Solar Private Limited|Arena Stud Farm Private Limited|Archaic Properties Private Limited|Anand Agencies Private Limited|Alkimos Consultancy Services Private Limited|Advance Tech Energy Additives Private Limited|Acreage Farms Private Limited|Ace Richesse (India) Private Limited|Abhipreet Trading Private Limited|Surya Power One (Pvt) Ltd.|Sunrise Energy (Pvt) Ltd.|Sunrays Power One (Pvt) Ltd.|Sun Energy One (Pvt) Ltd.|Sterling and Wilson RDC SAS|Sterling and Wilson Powergen FZE|Sterling and Wilson Power Systems Inc.|Sterling and Wilson Nigeria Limited|Sterling and Wilson Nigeria FZE|Sterling and Wilson Middle East WLL|Sterling and Wilson Middle East Electromechanical (Bahrain) WLL|Sterling and Wilson International FZE|Sterling and Wilson Industrial Safety and Power Solutions Sole Proprietorship LLC (formerly Sterling and Wilson Power Solutions LLC)|Sterling and Wilson Cogen Solutions LLC|Sterling and Wilson Cogen Solutions AG|Sterling and Wilson Australia Pty. Limited|Shapoorji Pallonji UK Ltd|Shapoorji Pallonji Technologies FZE|Shapoorji Pallonji Qatar WLL|Shapoorji Pallonji Properties LLC|Shapoorji Pallonji Nigeria Limited|Shapoorji Pallonji Nigeria FZE|Shapoorji Pallonji Mideast L.L.C.|Shapoorji Pallonji Malta Limited|Shapoorji Pallonji Libya Company For General Construction|Shapoorji Pallonji Lanka (Pvt) Ltd|Shapoorji Pallonji Kazakhstan LLC|Shapoorji Pallonji International FZE|Shapoorji Pallonji International FZC|Shapoorji Pallonji Ghana Ltd.|Shapoorji Pallonji General Trading For Construction Company WLL|Shapoorji Pallonji Facility Management Service Company Limited|Shapoorji Pallonji Europe Ltd.|Shapoorji Pallonji Egypt LLC|Shapoorji Pallonji Do Brasil Energy Ltda.|Shapoorji Pallonji Consulting Services DMCC|Shapoorji Pallonji 98/2 Company Pte. Ltd.|Shapoorji Holdings Limited|Sarl SP Algeria|STC Power S.R.L.|SPM 5 Investment L.L.C|SPI Nowa Energia SP. Z.O.O|SPCL Holdings Pte. Limited|SP Sierra Joint Venture (Pvt) Ltd|SP Properties Holdings Limited|SP Lanka Properties Private Limited|SP International Property Developers LLC|SP International|S.P. Oil & Gas Malaysia Sdn. Bhd.|S&P Energy Solutions Plc|S P Global Operations Limited|P. T. Gokak Indonesia|Nutan Bidyut (Bangladesh) Ltd.|Natural Oil Ventures Co. Limited|Musandam Rock LLC|Minaean SP Construction Corporation|Minaean Building Solutions Inc.|Minaean (Ghana) Ltd.|Global Resource and Logistics Pte. Ltd.|Global Infra FZCO|Global Energy Ventures Mauritius|Global Energy Projects Holdings|Global Bulk Minerals FZ LLC|GCO Australia Pty. Ltd.|Fine Energy Solar (Pvt) Ltd.|ESPI Holdings Mauritius Limited|EFL Mauritius Limited|Dynamic Sun Energy Private Limited|Cebarco Shapoorji Pallonji Co W.L.L.|Bisho Infra Projects Limited|Aspire Properties Holdings Limited|Arme Investment Company Limited|Zahan Cyrus Mistry|Shapoorji Pallonji Mistry|Firoz Cyrus Mistry|Tanya Mistry|Rohiqa Mistry|Patsy Mistry|Pallon Shapoorji Mistry|Behroze Mistry
