isin,company_name_owners,owners_cat,symbol,company_name_cand,owner_flag,owner_flag_ai,owner_flag_final
INE749A01030,JINDAL STEEL LTD,Owner,JINDALSTEL,JINDAL STEEL LIMITED,owner_confirmed_individual_and_director,,OWNER
INE776C01039,GMR AIRPORTS LTD,Owner,GMRAIRPORT,GMR AIRPORTS LIMITED,owner_confirmed_individual_and_director,,OWNER
INE931S01010,ADANI ENERGY SOLUTIONS LTD,Owner,ADANIENSOL,Adani Energy Solutions Limited,owner_confirmed_individual_and_director,,OWNER
INE498L01015,L&T FINANCE LTD,Professional,LTF,L&T Finance Limited,owner_confirmed_director_only,,OWNER
INE055A01016,ADITYA BIRLA REAL ESTATE LTD,Owner,ABREL,Aditya Birla Real Estate Limited,owner_confirmed_director_only,,OWNER
INE069I01010,EMBASSY DEVELOPMENTS LTD,Owner,EMBDL,Embassy Developments Limited,owner_confirmed_individual_and_director,,OWNER
INE148I01020,SAMMAAN CAPITAL LTD,Owner,,,,,
INE483S01020,AVENUESAI LTD,Owner,CCAVENUE,AvenuesAI Limited,owner_confirmed_individual_and_director,,OWNER
INE885A01032,AMARA RAJA ENERGY & MOBILITY,Owner,ARE&M,Amara Raja Energy & Mobility Limited,ambiguous_holding_indian,ai_owner,OWNER
INE155A01022,TATA MOTORS PASSENGER VEHICL,Professional,TMPV,Tata Motors Passenger Vehicles Limited,owner_confirmed_director_only,,OWNER
INE208C01025,AEGIS LOGISTICS LTD,Owner,AEGISLOG,Aegis Logistics Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE214T01019,LTM LTD,Professional,LTM,LTM Limited,owner_confirmed_director_only,,OWNER
INE699H01024,AWL AGRI BUSINESS LTD,Owner,AWL,AWL Agri Business Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE03Q201024,ALIVUS LIFE SCIENCES LTD,Owner,ALIVUS,Alivus Life Sciences Limited,owner_confirmed_director_only,,OWNER
INE00FF01025,ACUTAAS CHEMICALS LTD,Owner,ACUTAAS,Acutaas Chemicals Limited,owner_confirmed_individual_and_director,,OWNER
INE0BWS23018,ALTIUS TELECOM INFRASTRUCTUR,Professional,,,,,
INE03QK01018,COHANCE LIFESCIENCES LTD,Professional,COHANCE,Cohance Lifesciences Limited,ambiguous_holding_foreign,ai_professional,NOT_OWNER
INE192B01031,WELSPUN LIVING LTD,Owner,WELSPUNLIV,Welspun Living Limited,owner_confirmed_individual,,OWNER
INE813A01018,MAHINDRA LIFESPACE DEVELOPER,Owner,,,,,
INE665A01038,SWAN CORP LTD,Owner,SWANCORP,SWAN CORP LIMITED,owner_confirmed_individual,,OWNER
INE292B01021,HBL ENGINEERING LTD,Owner,HBLENGINE,HBL Engineering Limited,owner_confirmed_individual,,OWNER
INE818H01020,LT FOODS LTD,Owner,LTFOODS,LT Foods Limited,owner_confirmed_individual_and_director,,OWNER
INE879I01012,VALOR ESTATE LTD,Owner,DBREALTY,Valor Estate Limited,owner_confirmed_individual_and_director,,OWNER
INE686A01026,CEMINDIA PROJECTS LTD,MNC,CEMPRO,Cemindia Projects Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE001A01036,HOUSING DEVELOPMENT FINANCE,Professional,,,,,
INE001B01026,KRBL LTD,Owner,KRBL,KRBL Limited,owner_confirmed_individual,,OWNER
INE002A01018,RELIANCE INDUSTRIES LIMITED,Owner,RELIANCE,Reliance Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE002L01015,SJVN LTD,State,SJVN,SJVN Limited,excluded_state_dominant,,NOT_OWNER
INE002S01010,MAHANAGAR GAS LTD,State,MGL,Mahanagar Gas Limited,excluded_state_dominant,,NOT_OWNER
INE003A01024,SIEMENS LTD,MNC,SIEMENS,Siemens Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE006I01046,ASTRAL LTD,Owner,ASTRAL,Astral Limited,owner_confirmed_individual,,OWNER
INE008A01015,IDBI BANK LTD,State,IDBI,IDBI Bank Limited,excluded_state_dominant,,NOT_OWNER
INE009A01021,INFOSYS LTD,Professional,INFY,Infosys Limited,owner_confirmed_individual_and_director,,OWNER
INE00E101023,BIKAJI FOODS INTERNATIONAL L,Owner,BIKAJI,Bikaji Foods International Limited,owner_confirmed_individual_and_director,,OWNER
INE00F201020,PRUDENT CORPORATE ADVISORY S,Owner,PRUDENT,Prudent Corporate Advisory Services Limited,owner_confirmed_individual_and_director,,OWNER
INE00H001014,SWIGGY LTD,Professional,,,,,
INE00LO01017,CRAFTSMAN AUTOMATION LTD,Owner,CRAFTSMAN,Craftsman Automation Limited,owner_confirmed_individual_and_director,,OWNER
INE00M201021,STERLING AND WILSON RENEWABL,Owner,SWSOLAR,Sterling and Wilson Renewable Energy Limited,owner_confirmed_individual_and_director,,OWNER
INE00R701025,DALMIA BHARAT LTD,Owner,DALBHARAT,Dalmia Bharat Limited,owner_confirmed_individual_and_director,,OWNER
INE00WC01027,AFFLE 3I LTD,Owner,AFFLE,Affle 3i Limited,owner_probable_nri_family,ai_owner,OWNER
INE010B01027,ZYDUS LIFESCIENCES LTD,Owner,ZYDUSLIFE,Zydus Lifesciences Limited,owner_confirmed_individual_and_director,,OWNER
INE010J01012,TEJAS NETWORKS LTD,Professional,TEJASNET,Tejas Networks Limited,owner_confirmed_director_only,,OWNER
INE010V01017,L&T TECHNOLOGY SERVICES LTD,Professional,LTTS,L&T Technology Services Limited,owner_confirmed_director_only,,OWNER
INE011K01018,TEGA INDUSTRIES LTD,Owner,TEGA,Tega Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE012A01025,ACC LTD,Owner,ACC,ACC Limited,ambiguous_holding_indian,ai_owner,OWNER
INE016A01026,DABUR INDIA LTD,Owner,DABUR,Dabur India Limited,owner_confirmed_individual_and_director,,OWNER
INE017A01032,GREAT EASTERN SHIPPING CO,Owner,GESHIP,The Great Eastern Shipping Company Limited,owner_confirmed_individual_and_director,,OWNER
INE018A01030,LARSEN & TOUBRO LTD,Professional,,,,,
INE018E01016,SBI CARDS & PAYMENT SERVICES,State,SBICARD,SBI Cards and Payment Services Limited,owner_confirmed_director_only,,OWNER
INE019A01038,JSW STEEL LTD,Owner,JSWSTEEL,JSW Steel Limited,owner_confirmed_individual_and_director,,OWNER
INE019C01026,HIMADRI SPECIALITY CHEMICAL,Owner,HSCL,Himadri Speciality Chemical Limited,owner_confirmed_individual_and_director,,OWNER
INE01EA01019,VISHAL MEGA MART LTD,Owner,VMM,Vishal Mega Mart Limited,owner_confirmed_director_only,,OWNER
INE020B01018,REC LTD,State,RECLTD,REC Limited,owner_confirmed_director_only,,OWNER
INE021A01026,ASIAN PAINTS LTD,Owner,ASIANPAINT,Asian Paints Limited,owner_confirmed_individual_and_director,,OWNER
INE021O01019,DODLA DAIRY LTD,Owner,DODLA,Dodla Dairy Limited,owner_confirmed_individual_and_director,,OWNER
INE022Q01020,INDIAN ENERGY EXCHANGE LTD,Professional,,,,,
INE024L01027,GRAVITA INDIA LTD,Owner,GRAVITA,Gravita India Limited,owner_confirmed_individual_and_director,,OWNER
INE026A01025,GUJARAT STATE FERT & CHEMICA,State,GSFC,Gujarat State Fertilizers & Chemicals Limited,owner_confirmed_director_only,,OWNER
INE027A01015,RASHTRIYA CHEMICALS & FERT,State,RCF,Rashtriya Chemicals and Fertilizers Limited,excluded_state_dominant,,NOT_OWNER
INE027H01010,MAX HEALTHCARE INSTITUTE LTD,Owner,MAXHEALTH,Max Healthcare Institute Limited,owner_confirmed_individual_and_director,,OWNER
INE028A01039,BANK OF BARODA,State,BANKBARODA,Bank of Baroda,excluded_state_dominant,,NOT_OWNER
INE029A01011,BHARAT PETROLEUM CORP LTD,State,BPCL,Bharat Petroleum Corporation Limited,excluded_state_dominant,,NOT_OWNER
INE02NC01014,FINO PAYMENTS BANK LTD,Professional,,,,,
INE02YR01019,ELECTRONICS MART INDIA LTD,Owner,EMIL,Electronics Mart India Limited,owner_confirmed_individual,,OWNER
INE030A01027,HINDUSTAN UNILEVER LTD,MNC,HINDUNILVR,Hindustan Unilever Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE031A01017,HOUSING & URBAN DEV CORP LTD,State,HUDCO,Housing & Urban Development Corporation Limited,excluded_state_dominant,,NOT_OWNER
INE031B01049,AJANTA PHARMA LTD,Owner,AJANTPHARM,Ajanta Pharma Limited,owner_confirmed_individual_and_director,,OWNER
INE032A01023,BOMBAY DYEING & MFG CO LTD,Owner,BOMDYEING,Bombay Dyeing & Mfg Company Limited,owner_confirmed_individual,,OWNER
INE034A01011,ARVIND LTD,Owner,ARVIND,Arvind Limited,owner_confirmed_individual_and_director,,OWNER
INE036A01016,RELIANCE INFRASTRUCTURE LTD,Owner,RELINFRA,Reliance Infrastructure Limited,owner_confirmed_individual_and_director,,OWNER
INE036B01030,GUJARAT AMBUJA EXPORTS LTD,Owner,GAEL,Gujarat Ambuja Exports Limited,owner_confirmed_individual_and_director,,OWNER
INE036D01028,KARUR VYSYA BANK LTD,Professional,,,,,
INE038A01020,HINDALCO INDUSTRIES LTD,Owner,HINDALCO,Hindalco Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE039A01010,IFCI LTD,State,IFCI,IFCI Limited,excluded_state_dominant,,NOT_OWNER
INE039C01032,JAMNA AUTO INDUSTRIES LTD,Owner,JAMNAAUTO,Jamna Auto Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE040A01034,HDFC BANK LIMITED,Professional,,,,,
INE040H01021,SUZLON ENERGY LTD,Owner,SUZLON,Suzlon Energy Limited,owner_confirmed_individual_and_director,,OWNER
INE041025011,EMBASSY OFFICE PARKS REIT,Owner,,,,,
INE042A01014,ESCORTS KUBOTA LTD,Owner,ESCORTS,Escorts Kubota Limited,ambiguous_mnc_jv_candidate,ai_owner_weak,OWNER_WEAK
INE043D01016,IDFC LTD,Professional,,,,,
INE043W01024,VIJAYA DIAGNOSTIC CENTRE PVT,Owner,VIJAYA,Vijaya Diagnostic Centre Limited,owner_confirmed_individual_and_director,,OWNER
INE044A01036,SUN PHARMACEUTICAL INDUS,Owner,SUNPHARMA,Sun Pharmaceutical Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE045601023,PARAS DEFENCE & SPACE TECHNO,Owner,PARAS,Paras Defence and Space Technologies Limited,owner_confirmed_individual_and_director,,OWNER
INE047A01021,GRASIM INDUSTRIES LTD,Owner,GRASIM,Grasim Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE048G01026,NAVIN FLUORINE INTERNATIONAL,Owner,NAVINFLUOR,Navin Fluorine International Limited,owner_confirmed_individual_and_director,,OWNER
INE049B01025,WOCKHARDT LTD,Owner,WOCKPHARMA,Wockhardt Limited,owner_confirmed_individual_and_director,,OWNER
INE04I401011,KPIT TECHNOLOGIES LTD,Owner,KPITTECH,KPIT Technologies Limited,owner_confirmed_individual_and_director,,OWNER
INE050A01025,BOMBAY BURMAH TRADING CORP,Owner,BBTC,The Bombay Burmah Trading Corporation Limited,owner_confirmed_individual,,OWNER
INE051B01021,VAKRANGEE LTD,Owner,VAKRANGEE,Vakrangee Limited,owner_confirmed_individual_and_director,,OWNER
INE052I01032,CAMLIN FINE SCIENCES LTD,Owner,CAMLINFINE,Camlin Fine Sciences Limited,owner_confirmed_individual_and_director,,OWNER
INE053A01029,INDIAN HOTELS CO LTD,Professional,INDHOTEL,The Indian Hotels Company Limited,owner_confirmed_director_only,,OWNER
INE053F01010,INDIAN RAILWAY FINANCE CORP,State,IRFC,Indian Railway Finance Corporation Limited,excluded_state_dominant,,NOT_OWNER
INE054A01027,V.I.P. INDUSTRIES LTD,Owner,VIPIND,VIP Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE055S01018,CYIENT DLM LTD,Owner,CYIENTDLM,Cyient DLM Limited,owner_confirmed_director_only,,OWNER
INE058A01010,SANOFI INDIA LTD,MNC,,,,,
INE059A01026,CIPLA LTD,Owner,CIPLA,Cipla Limited,owner_confirmed_individual_and_director,,OWNER
INE061F01013,FORTIS HEALTHCARE LTD,MNC,FORTIS,Fortis Healthcare Limited,ambiguous_holding_foreign,ai_mnc,NOT_OWNER
INE062A01020,STATE BANK OF INDIA,State,SBIN,State Bank of India,excluded_state_dominant,,NOT_OWNER
INE063P01018,EQUITAS SMALL FINANCE BANK L,Professional,,,,,
INE064C01022,TRIDENT LTD,Owner,TRIDENT,Trident Limited,owner_confirmed_director_only,,OWNER
INE066A01021,EICHER MOTORS LTD,Owner,EICHERMOT,Eicher Motors Limited,owner_confirmed_individual_and_director,,OWNER
INE066F01020,HINDUSTAN AERONAUTICS LTD,State,HAL,Hindustan Aeronautics Limited,excluded_state_dominant,,NOT_OWNER
INE067A01029,CG POWER AND INDUSTRIAL SOLU,Owner,CGPOWER,CG Power and Industrial Solutions Limited,owner_confirmed_individual_and_director,,OWNER
INE068V01023,GLAND PHARMA LTD,Owner,GLAND,Gland Pharma Limited,ambiguous_holding_foreign,ai_mnc,NOT_OWNER
INE070A01015,SHREE CEMENT LTD,Owner,SHREECEM,SHREE CEMENT LIMITED,owner_confirmed_individual,,OWNER
INE070D01027,JAI CORP LTD,Owner,JAICORPLTD,Jai Corp Limited,owner_confirmed_individual_and_director,,OWNER
INE073K01018,SONA BLW PRECISION FORGINGS,Owner,SONACOMS,Sona BLW Precision Forgings Limited,owner_confirmed_individual_and_director,,OWNER
INE074A01025,PRAJ INDUSTRIES LTD,Owner,PRAJIND,Praj Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE075A01022,WIPRO LTD,Owner,WIPRO,Wipro Limited,owner_confirmed_individual_and_director,,OWNER
INE079A01024,AMBUJA CEMENTS LTD,Owner,AMBUJACEM,Ambuja Cements Limited,ambiguous_holding_foreign,ai_owner,OWNER
INE07O001026,EASY TRIP PLANNERS LTD,Owner,EASEMYTRIP,Easy Trip Planners Limited,owner_confirmed_individual,,OWNER
INE07T201019,RESTAURANT BRANDS ASIA LTD,Professional,RBA,Restaurant Brands Asia Limited,owner_confirmed_director_only,,OWNER
INE07Y701011,HITACHI ENERGY INDIA LTD,MNC,POWERINDIA,Hitachi Energy India Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE081A01020,TATA STEEL LTD,Professional,TATASTEEL,Tata Steel Limited,owner_confirmed_director_only,,OWNER
INE084A01016,BANK OF INDIA,State,BANKINDIA,Bank of India,excluded_state_dominant,,NOT_OWNER
INE085A01013,CHAMBAL FERTILISERS & CHEM,Owner,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,owner_confirmed_individual_and_director,,OWNER
INE086A01029,ELECTROSTEEL CASTINGS LTD,Owner,ELECTCAST,Electrosteel Castings Limited,owner_confirmed_individual,,OWNER
INE087H01022,SHREE RENUKA SUGARS LTD,MNC,RENUKA,Shree Renuka Sugars Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE088F01024,PARADEEP PHOSPHATES LTD,Owner,PARADEEP,Paradeep Phosphates Limited,owner_confirmed_individual_and_director,,OWNER
INE089A01031,DR. REDDY'S LABORATORIES,Owner,DRREDDY,Dr. Reddy's Laboratories Limited,owner_confirmed_individual_and_director,,OWNER
INE089C01029,STERLITE TECHNOLOGIES LTD,Owner,STLTECH,Sterlite Technologies Limited,owner_confirmed_individual_and_director,,OWNER
INE08LI01020,KRSNAA DIAGNOSTICS LTD,Owner,KRSNAA,Krsnaa Diagnostics Limited,owner_confirmed_individual_and_director,,OWNER
INE090A01021,ICICI BANK LTD,Professional,,,,,
INE091G01026,JAI BALAJI INDUSTRIES LTD,Owner,JAIBALAJI,Jai Balaji Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE092A01019,TATA CHEMICALS LTD,Professional,TATACHEM,Tata Chemicals Limited,owner_confirmed_director_only,,OWNER
INE092T01019,IDFC FIRST BANK LTD,Professional,,,,,
INE093I01010,OBEROI REALTY LTD,Owner,OBEROIRLTY,Oberoi Realty Limited,owner_confirmed_individual_and_director,,OWNER
INE094A01015,HINDUSTAN PETROLEUM CORP,State,HINDPETRO,Hindustan Petroleum Corporation Limited,owner_confirmed_director_only,,OWNER
INE094I01018,KOLTE-PATIL DEVELOPERS LTD,Owner,KOLTEPATIL,Kolte - Patil Developers Limited,owner_confirmed_individual_and_director,,OWNER
INE094J01016,UTI ASSET MANAGEMENT CO LTD,Professional,,,,,
INE095A01012,INDUSIND BANK LTD,Owner,INDUSINDBK,IndusInd Bank Limited,owner_confirmed_director_only,,OWNER
INE095N01031,NBCC INDIA LTD,State,NBCC,NBCC (India) Limited,excluded_state_dominant,,NOT_OWNER
INE099Z01011,MISHRA DHATU NIGAM LTD,State,MIDHANI,Mishra Dhatu Nigam Limited,excluded_state_dominant,,NOT_OWNER
INE09N301011,GUJARAT FLUOROCHEMICALS LTD,Owner,FLUOROCHEM,Gujarat Fluorochemicals Limited,owner_confirmed_individual,,OWNER
