isin,symbol_resolved,rev1_company_name,nse_company_name,rev1_category,resolution_status
INE001A01036,,HOUSING DEVELOPMENT FINANCE,,Professional,unresolvable
INE00H001014,SWIGGY,SWIGGY LTD,Swiggy Limited,Professional,resolvable
INE018A01030,LT,LARSEN & TOUBRO LTD,Larsen & Toubro Limited,Professional,resolvable
INE022Q01020,IEX,INDIAN ENERGY EXCHANGE LTD,Indian Energy Exchange Limited,Professional,resolvable
INE036D01028,KARURVYSYA,KARUR VYSYA BANK LTD,Karur Vysya Bank Limited,Professional,resolvable
INE040A01034,HDFCBANK,HDFC BANK LIMITED,HDFC Bank Limited,Professional,resolvable
INE041025011,,EMBASSY OFFICE PARKS REIT,,Owner,unresolvable
INE043D01016,,IDFC LTD,,Professional,unresolvable
INE063P01018,EQUITASBNK,EQUITAS SMALL FINANCE BANK L,Equitas Small Finance Bank Limited,Professional,resolvable
INE090A01021,ICICIBANK,ICICI BANK LTD,ICICI Bank Limited,Professional,resolvable
INE092T01019,IDFCFIRSTB,IDFC FIRST BANK LTD,IDFC First Bank Limited,Professional,resolvable
INE094J01016,UTIAMC,UTI ASSET MANAGEMENT CO LTD,UTI Asset Management Company Limited,Professional,resolvable
INE0BWS23018,,ALTIUS TELECOM INFRASTRUCTUR,,Professional,unresolvable
INE0CCU25019,,MINDSPACE BUSINESS PARKS REI,,Owner,unresolvable
INE0FDU25010,,BROOKFIELD INDIA REAL ESTATE,,MNC,unresolvable
INE0GGX23010,,POWERGRID INFRASTRUCTURE INV,,State,unresolvable
INE0NDH25011,,NEXUS SELECT TRUST,,Professional,unresolvable
INE118H01025,BSE,BSE LTD,BSE Limited,Professional,resolvable
INE140A01024,,PIRAMAL ENTERPRISES LTD,,Owner,unresolvable
INE148I01020,SAMMAANCAP,SAMMAAN CAPITAL LTD,Sammaan Capital Limited,Owner,resolvable
INE148O01028,DELHIVERY,DELHIVERY LTD,Delhivery Limited,Professional,resolvable
INE154A01025,ITC,ITC LTD,ITC Limited,Professional,resolvable
INE171A01029,FEDERALBNK,FEDERAL BANK LTD,The Federal Bank  Limited,Professional,resolvable
INE180A01020,MFSL,MAX FINANCIAL SERVICES LTD,Max Financial Services Limited,Owner,resolvable
INE238A01034,AXISBANK,AXIS BANK LTD,Axis Bank Limited,Professional,resolvable
INE256A01028,ZEEL,ZEE ENTERTAINMENT ENTERPRISE,Zee Entertainment Enterprises Limited,Owner,resolvable
INE274G01010,,DHANI SERVICES LTD,,Owner,unresolvable
INE290S01011,CARTRADE,CARTRADE TECH LTD,Cartrade Tech Limited,Professional,resolvable
INE299U01018,CROMPTON,CROMPTON GREAVES CONSUMER EL,Crompton Greaves Consumer Electricals Limited,Professional,resolvable
INE334L01012,,UJJIVAN FINANCIAL SERVICES L,,Professional,unresolvable
INE386C01029,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD,Astra Microwave Products Limited,Owner,resolvable
INE417T01026,POLICYBZR,PB FINTECH LTD,PB Fintech Limited,Professional,resolvable
INE455F01025,,JAIPRAKASH ASSOCIATES LTD,,Owner,unresolvable
INE481N01025,HOMEFIRST,HOME FIRST FINANCE CO INDIA,Home First Finance Company India Limited,Professional,resolvable
INE491A01021,CUB,CITY UNION BANK LTD,City Union Bank Limited,Professional,resolvable
INE493A01027,,TATA COFFEE LTD,,Professional,unresolvable
INE528G01035,YESBANK,YES BANK LTD,Yes Bank Limited,Professional,resolvable
INE551W01018,UJJIVANSFB,UJJIVAN SMALL FINANCE BANK L,Ujjivan Small Finance Bank Limited,Professional,resolvable
INE591G01025,COFORGE,COFORGE LIMITED,Coforge Limited,MNC,resolvable
INE596I01020,CAMS,COMPUTER AGE MANAGEMENT SERV,Computer Age Management Services Limited,Professional,resolvable
INE614B01018,KTKBANK,KARNATAKA BANK LTD,The Karnataka Bank Limited,Professional,resolvable
INE668A01016,TMB,TAMILNAD MERCANTILE BANK,Tamilnad Mercantile Bank Limited,Professional,resolvable
INE683A01023,SOUTHBANK,SOUTH INDIAN BANK LTD,The South Indian Bank Limited,Professional,resolvable
INE745G01043,MCX,MULTI COMMODITY EXCH INDIA,Multi Commodity Exchange of India Limited,Professional,resolvable
INE752P01024,,FUTURE RETAIL LTD,,Owner,unresolvable
INE758T01015,ETERNAL,ETERNAL LTD,ETERNAL LIMITED,Professional,resolvable
INE763G01038,,ICICI SECURITIES LTD,,Professional,unresolvable
INE778U01029,,TCNS CLOTHING CO LTD,,Owner,unresolvable
INE836F01026,DISHTV,DISH TV INDIA LTD,Dish TV India Limited,Owner,resolvable
INE886H01027,,TV18 BROADCAST LTD,,Owner,unresolvable
INE887G01027,GOKEX,GOKALDAS EXPORTS LTD,Gokaldas Exports Limited,Professional,resolvable
INE891D01026,REDINGTON,REDINGTON LTD,Redington Limited,MNC,resolvable
INE925R01014,CMSINFO,CMS INFO SYSTEMS LTD,CMS Info Systems Limited,Professional,resolvable
INE976G01028,RBLBANK,RBL BANK LTD,RBL Bank Limited,Professional,resolvable
INE982J01020,PAYTM,ONE 97 COMMUNICATIONS LTD,One 97 Communications Limited,Professional,resolvable
