isin,rev1_company_name,rev1_category,suspected_reason,final_owner_status
INE001A01036,HOUSING DEVELOPMENT FINANCE,Professional,HDFC Ltd → HDFC Bank と合併消滅 (2026-07 統合),NOT_OWNER (rev1 流用)
INE041025011,EMBASSY OFFICE PARKS REIT,Owner,REIT（不動産投信、株式とは別資産クラス）,OWNER (rev1 流用)
INE043D01016,IDFC LTD,Professional,IDFC Ltd → IDFC First Bank に合併消滅 (2025-10),NOT_OWNER (rev1 流用)
INE0BWS23018,ALTIUS TELECOM INFRASTRUCTUR,Professional,InvIT/Infrastructure trust（株式とは別資産クラス）,NOT_OWNER (rev1 流用)
INE0CCU25019,MINDSPACE BUSINESS PARKS REI,Owner,REIT（不動産投信、株式とは別資産クラス）,OWNER (rev1 流用)
INE0FDU25010,BROOKFIELD INDIA REAL ESTATE,MNC,REIT（不動産投信、株式とは別資産クラス）,NOT_OWNER (rev1 流用)
INE0GGX23010,POWERGRID INFRASTRUCTURE INV,State,InvIT/Power InvIT（株式とは別資産クラス）,NOT_OWNER (rev1 流用)
INE0NDH25011,NEXUS SELECT TRUST,Professional,REIT（不動産投信、株式とは別資産クラス）,NOT_OWNER (rev1 流用)
INE140A01024,PIRAMAL ENTERPRISES LTD,Owner,Demerger により ISIN 変更（PIRAMAL PHARMA への分離後の新 ISIN は別 ISIN）,OWNER (rev1 流用)
INE274G01010,DHANI SERVICES LTD,Owner,DHANI Services 上場廃止,OWNER (rev1 流用)
INE334L01012,UJJIVAN FINANCIAL SERVICES L,Professional,UJJIVAN Financial → UJJIVAN SFB に合併消滅,NOT_OWNER (rev1 流用)
INE455F01025,JAIPRAKASH ASSOCIATES LTD,Owner,Jaiprakash Associates 上場廃止/破綻,OWNER (rev1 流用)
INE493A01027,TATA COFFEE LTD,Professional,Tata Coffee → Tata Consumer Products に合併消滅,NOT_OWNER (rev1 流用)
INE752P01024,FUTURE RETAIL LTD,Owner,Future Retail 上場廃止/破綻,OWNER (rev1 流用)
INE763G01038,ICICI SECURITIES LTD,Professional,ICICI Securities → ICICI Bank が完全買収・上場廃止 (2026-04),NOT_OWNER (rev1 流用)
INE778U01029,TCNS CLOTHING CO LTD,Owner,TCNS Clothing → ABFRL (Aditya Birla Fashion) に合併消滅,OWNER (rev1 流用)
INE886H01027,TV18 BROADCAST LTD,Owner,TV18 Broadcast → Network18 に合併消滅 (2024-09 統合),OWNER (rev1 流用)
