symbol,company_name,isin,series,listing_date,face_value,industry,sector,basic_industry,macro,is_fno,last_price,previous_close,year_high,year_low,ffmc,pct_change_30d,pct_change_365d,fetched_at
BAWEJA,,,EQ,,,SM,,,,,36.6,31.2,75.7,21.1,,,,2026-04-14T01:22:41.013948+00:00
SUPREMEPWR,,,EQ,,,SM,,,,,200.25,181.55,240.05,105.7,,,,2026-04-14T01:22:41.013948+00:00
LLOYDS,,,EQ,,,SM,,,,,76.5,69.55,125.75,34.8,,,,2026-04-14T01:22:41.013948+00:00
GREENLEAF,,,EQ,,,SM,,,,,72.4,65.85,185.9,52.5,,,,2026-04-14T01:22:41.013948+00:00
UHTL,,,EQ,,,SM,,,,,60.5,55.2,98.0,44.0,,,,2026-04-14T01:22:41.013948+00:00
CELLPOINT,,,EQ,,,SM,,,,,17.5,16.0,21.15,11.7,,,,2026-04-14T01:22:41.013948+00:00
STUDIOLSD,,,EQ,,,SM,,,,,14.65,13.4,43.2,7.15,,,,2026-04-14T01:22:41.013948+00:00
UMA,,,EQ,,,SM,,,,,18.0,16.5,31.8,14.5,,,,2026-04-14T01:22:41.013948+00:00
ROCKINGDCE,,,EQ,,,SM,,,,,171.0,156.95,283.85,123.9,,,,2026-04-14T01:22:41.013948+00:00
KONTOR,,,EQ,,,SM,,,,,76.0,69.95,91.8,53.25,,,,2026-04-14T01:22:41.013948+00:00
KRISHCA,,,EQ,,,SM,,,,,180.0,166.05,300.0,138.0,,,,2026-04-14T01:22:41.013948+00:00
GLOBALPET,,,EQ,,,SM,,,,,108.95,101.0,159.7,85.0,,,,2026-04-14T01:22:41.013948+00:00
BIKEWO,,,EQ,,,SM,,,,,20.8,19.3,24.45,13.65,,,,2026-04-14T01:22:41.013948+00:00
SATKARTAR,,,EQ,,,SM,,,,,195.0,181.0,237.85,124.0,,,,2026-04-14T01:22:41.013948+00:00
ONYX,,,EQ,,,SM,,,,,37.7,35.1,58.95,28.1,,,,2026-04-14T01:22:41.013948+00:00
REFRACTORY,,,EQ,,,SM,,,,,45.0,42.1,72.5,28.65,,,,2026-04-14T01:22:41.013948+00:00
ALPEXSOLAR,,,EQ,,,SM,,,,,977.0,915.5,1449.7,660.0,,,,2026-04-14T01:22:41.013948+00:00
SATTVAENGG,,,EQ,,,SM,,,,,65.0,61.0,118.9,43.5,,,,2026-04-14T01:22:41.013948+00:00
DELTIC,,,EQ,,,SM,,,,,44.1,41.4,83.95,28.05,,,,2026-04-14T01:22:41.013948+00:00
MACOBSTECH,,,EQ,,,SM,,,,,212.8,200.0,246.95,160.0,,,,2026-04-14T01:22:41.013948+00:00
SRIVASAVI,,,EQ,,,SM,,,,,54.95,51.75,79.0,39.0,,,,2026-04-14T01:22:41.013948+00:00
TBI,,,EQ,,,SM,,,,,73.75,69.55,137.8,55.0,,,,2026-04-14T01:22:41.013948+00:00
JAYESH,,,EQ,,,SM,,,,,176.0,166.0,183.0,106.35,,,,2026-04-14T01:22:41.013948+00:00
MAXVOLT,,,EQ,,,SM,,,,,360.5,340.55,509.0,175.6,,,,2026-04-14T01:22:41.013948+00:00
CUDML,,,EQ,,,SM,,,,,119.9,113.35,166.5,84.95,,,,2026-04-14T01:22:41.013948+00:00
SPECTSTM,,,EQ,,,SM,,,,,65.3,61.8,148.4,50.75,,,,2026-04-14T01:22:41.013948+00:00
FROG,,,EQ,,,SM,,,,,180.0,170.4,290.0,123.5,,,,2026-04-14T01:22:41.013948+00:00
ACCENTMIC,,,EQ,,,SM,,,,,440.0,417.15,443.5,179.25,,,,2026-04-14T01:22:41.013948+00:00
ENFUSE,,,EQ,,,SM,,,,,187.9,178.5,284.0,150.0,,,,2026-04-14T01:22:41.013948+00:00
CGRAPHICS,,,EQ,,,SM,,,,,175.8,167.05,259.0,134.5,,,,2026-04-14T01:22:41.013948+00:00
VINYAS,,,EQ,,,SM,,,,,1020.0,970.35,1440.0,750.0,,,,2026-04-14T01:22:41.013948+00:00
AGNI,,,EQ,,,SM,,,,,21.0,20.0,43.35,13.6,,,,2026-04-14T01:22:41.013948+00:00
CMRSL,,,EQ,,,SM,,,,,63.0,60.0,96.75,52.45,,,,2026-04-14T01:22:41.013948+00:00
NEELAM,,,EQ,,,SM,,,,,12.6,12.0,32.85,10.1,,,,2026-04-14T01:22:41.013948+00:00
PRIZOR,,,EQ,,,ST,,,,,446.45,425.2,446.45,129.0,,,,2026-04-14T01:22:41.013948+00:00
SYNOPTICS,,,EQ,,,SM,,,,,48.3,46.0,116.0,39.65,,,,2026-04-14T01:22:41.013948+00:00
TEJASCARGO,,,EQ,,,SM,,,,,276.35,263.2,363.6,153.35,,,,2026-04-14T01:22:41.013948+00:00
NIRMAN,,,EQ,,,ST,,,,,53.65,51.1,282.5,38.65,,,,2026-04-14T01:22:41.013948+00:00
KDL,,,EQ,,,ST,,,,,141.2,134.5,376.8,100.85,,,,2026-04-14T01:22:41.013948+00:00
ASLIND,,,EQ,,,SM,,,,,84.45,80.45,118.6,33.9,,,,2026-04-14T01:22:41.013948+00:00
KORE,,,EQ,,,SM,,,,,115.1,109.65,212.3,85.0,,,,2026-04-14T01:22:41.013948+00:00
OWAIS,,,EQ,,,SM,,,,,142.7,135.95,707.9,88.1,,,,2026-04-14T01:22:41.013948+00:00
RADIOWALLA,,,EQ,,,SM,,,,,30.6,29.15,87.0,22.2,,,,2026-04-14T01:22:41.013948+00:00
MONOPHARMA,,,EQ,,,SM,,,,,12.7,12.1,28.25,9.45,,,,2026-04-14T01:22:41.013948+00:00
QUESTLAB,,,EQ,,,ST,,,,,110.2,105.0,140.35,75.15,,,,2026-04-14T01:22:41.013948+00:00
REXPRO,,,EQ,,,SM,,,,,49.8,47.45,107.95,38.3,,,,2026-04-14T01:22:41.013948+00:00
SONUINFRA,,,EQ,,,SM,,,,,54.1,51.55,145.0,38.0,,,,2026-04-14T01:22:41.013948+00:00
THESL,,,EQ,,,SM,,,,,14.85,14.15,43.5,11.45,,,,2026-04-14T01:22:41.013948+00:00
PURVFLEXI,,,EQ,,,SM,,,,,60.7,57.85,124.95,37.0,,,,2026-04-14T01:22:41.013948+00:00
AMEYA,,,EQ,,,SM,,,,,112.25,107.0,127.25,86.0,,,,2026-04-14T01:22:41.013948+00:00
TGL,,,EQ,,,ST,,,,,32.05,30.55,399.4,26.2,,,,2026-04-14T01:22:41.013948+00:00
